Item,FN,MW,FT,WW,BS
AK-47_Aquamarine_Revenge,33859,33861,33860,33862,33858
AK-47_Asiimov,763469,763311,763250,763504,763353
AK-47_Baroque_Purple,775895,775915,774893,775853,775142
AK-47_Black_Laminate,33864,33866,33865,33867,33863
AK-47_Bloodsport,33868,33870,33869,33871,Null
AK-47_Blue_Laminate,33872,33874,33873,33875,Null
AK-47_Cartel,33877,33878,33853,33879,33876
AK-47_Elite_Build,33885,33887,33886,33888,33844
AK-47_Fire_Serpent,33895,33897,33896,33898,33894
AK-47_First_Class,33900,33902,33901,33903,33899
AK-47_Frontside_Misty,33905,33907,33906,33908,33904
AK-47_Fuel_Injector,33910,33912,33911,33913,33909
AK-47_Gold_Arabesque,871769,871696,871677,871985,871803
AK-47_Green_Laminate,871704,871772,871673,872041,Null
AK-47_Head_Shot,921576,921456,921561,921551,921432
AK-47_Hydroponic,33915,33917,33916,33918,33914
AK-47_Ice_Coaled,900529,900482,900514,900561,900588
AK-47_Inheritance,956571,956596,956540,956643,956532
AK-47_Jaguar,33920,33922,33921,33923,33919
AK-47_Jet_Set,33925,33927,33926,33928,33924
AK-47_Jungle_Spray,33930,33932,33931,33933,33929
AK-47_Leet_Museo,871340,871099,871478,871960,871497
AK-47_Legion_of_Anubis,781649,781656,781666,781702,781578
AK-47_Neon_Revolution,33935,33937,33936,33938,33934
AK-47_Neon_Rider,759363,759234,759341,759498,759233
AK-47_Nightwish,887070,886753,886981,887021,887029
AK-47_Orbit_Mk01,33940,33942,33941,33943,33939
AK-47_Panthera_onca,835826,835831,835982,835945,835875
AK-47_Phantom_Disruptor,779257,779194,779196,779295,779287
AK-47_Point_Disarray,33945,33947,33946,33948,33944
AK-47_Predator,33950,33952,33951,33953,33949
AK-47_Rat_Rod,775204,775557,775146,775674,775541
AK-47_Red_Laminate,33955,33957,33956,33958,33954
AK-47_Redline,Null,33961,33960,33962,33959
AK-47_Safari_Mesh,33964,33966,33965,33967,33963
AK-47_Safety_Net,762172,762232,762109,762110,762108
AK-47_Slate,857652,857534,857550,857556,857554
AK-47_Steel_Delta,927328,927322,927339,927391,927351
AK-47_The_Empress,33969,33971,33970,33972,33968
AK-47_Uncharted,769177,769139,769124,769225,769215
AK-47_Vulcan,33974,33976,33975,33977,33973
AK-47_Wasteland_Rebel,33979,33981,33980,33982,33978
AK-47_Wild_Lotus,776874,776538,776459,776567,776912
AK-47_X-Ray,837375,835777,836044,835881,835824
AUG_Akihabara_Accept,33984,33986,33985,33987,33983
AUG_Amber_Fade,871111,871236,871095,871788,Null
AUG_Amber_Slipstream,759190,759236,759217,759237,759235
AUG_Anodized_Navy,33988,33989,Null,Null,Null
AUG_Arctic_Wolf,775252,775166,775242,775620,775832
AUG_Aristocrat,33991,33993,33992,33994,33990
AUG_Bengal_Tiger,33996,33998,33997,33999,33995
AUG_Carved_Jade,835754,835445,835974,Null,Null
AUG_Chameleon,34001,34003,34002,34004,34000
AUG_Colony,34006,34008,34007,34009,34005
AUG_Condemned,34011,34012,33819,34013,34010
AUG_Contractor,34015,34017,34016,34018,34014
AUG_Copperhead,Null,34020,34019,Null,Null
AUG_Daedalus,34022,34024,34023,34025,34021
AUG_Death_by_Puppy,773667,773678,773643,773811,Null
AUG_Flame_Jörmungandr,775823,775983,775910,776401,776808
AUG_Fleet_Flock,34027,34029,34028,34030,34026
