Item,FN,MW,FT,WW,BS
AK-47_Head_Shot,1098495655862669312,1098192325802266624,1098056706220429312,1098886183169208320,1098882689051725825
AK-47_Steel_Delta,1124807251990482944,1124800858769772544,1124802516862791680,1124838109472428032,1124823281728581632
AUG_Snake_Pit,1124791480113852416,1124791496580689920,1124791478838784000,1124806417266864128,1124791517736759296
AWP_Black_Nile,1124833478266245120,1124809197767544832,1124791512485490688,1124824239112024064,1124824240340955136
AWP_Duality,1100254007665070080,1100271638958804992,1100260061008883713,1100639951147749376,1100386859450863616
FAMAS_Waters_of_Nephthys,1124874122771460096,1124836244030558208,1124807702513258496,1124927574287126528,1124842254881681408
Glock-18_Ramese's_Reach,1124869127484739584,1124833471920263168,1124791509486563328,1124824252892909568,1124849527422373888
Glock-18_Umbral_Rabbit,1098083625769021440,1098033285469413376,1098052790213820416,1098153945231368192,1098227977767227392
M249_Submerged,1124791495037186048,1124791515723493376,1124791476942958592,1124806423981944832,1124797241916575744
M4A1-S_Emphorosaur-S,1098066352323837952,1098041811814162432,1098053220113203200,1098175969696591872,1098109529175953410
M4A1-S_Mud-Spec,1124815872723849216,1124797245515288576,1124791516386193408,1124803280112021504,1124814029266014208
M4A4_Eye_of_Horus,1124844523730857984,1124890334019899392,1124837949338095616,1124807698595778560,1125386942319149056
M4A4_Temukau,1098225884455940096,1098192327056363520,1098083558385324032,1100777031874105344,1098562751984373760
MAC-10_Echoing_Sands,1124816572743053312,1124803400006201344,1124800758026784768,1124820360458760192,1124799290028773376
MAC-10_Sakkaku,Null,Null,1098058392202817536,1098082282598932480,1098066352848125952
MAG-7_Copper_Coated,1124834858339061760,1124806468999499776,1124815354582102016,1124824239229464576,1124794421564215296
MAG-7_Insomnia,1098066352697131008,1098057028299042816,1098059387448242176,1098057028999491584,1098109528588750848
MP5-SD_Liquidation,1098202823771136000,1098075811656830976,1098027629143044096,1098058012674072576,1098041716886355968
MP7_Sunbaked,1124817589949091840,1124791480055132160,1124791477777625088,1124791477962174464,1124791476422864896
MP9_Featherweight,1098066352504193024,1098059385514668032,1098059385753743360,1098045691250520064,1098109529175953409
Nova_Sobek's_Bite,1124833902923509760,1124814128025006080,1124851670803992576,1124838457904099328,1124842014396305409
P2000_Wicked_Sick,1098086566224830464,1098084195502305280,1098196531624951808,1098109666204991488,1098063386925744128
P250_Apep's_Curse,1124913081009836032,1124839078505140224,1124839077121019904,1124855451046301696,1124880593570852864
P250_Re.built,1098261905022492672,1098057026415800320,1098052938479349760,1098086907445919744,1098068697408409600
P90_Neoqueen,1098058395063332864,1098155893853433856,1098081375373930496,1098084420137885696,1098194580036272128
P90_ScaraB_Rush,1124900463138312192,1124814129673367552,1124793195642056704,1124829814055923712,1124823515440246784
R8_Revolver_Banana_Cannon,1098058393490468864,1098152622981226496,1098057028710084608,1098075813082894336,1098048152440737792
R8_Revolver_Inlay,1124791499621560320,1124791502003924992,1124789472444878848,1124817088311095296,1124791505430671360
SCAR-20_Fragments,1098220615294431232,1098059387020423168,1098027628752973824,1098446825372098560,1098081375529119744
SG_553_Cyberforce,1098145620623011840,1098049025043963904,1098027280087793664,1098059387318218752,1098063142189182976
SSG_08_Azure_Glyph,1124827545260421120,1124791501731295232,1124797911637872640,1124791511202033664,1124802567284625408
Tec-9_Mummy's_Rot,1124834384739987456,1124826714959433728,1124822457183031296,1124824237052620800,1124806466558414848
Tec-9_Rebel,1098254629421072384,1098057026692624384,1098054641923538944,1098059387234332672,1098083779863556096
UMP-45_Wild_Child,1098680242659246080,1098229813539311616,1098220895144579072,1098085573119250432,1098429139711795200
USP-S_Desert_Tactical,1124823280336072704,1124803402043035648,1124791482802401280,1124791495909601280,1124796118988910592
XM1014_Hieroglyph,1124791516629463040,1124791498795282432,1124791509465591808,1124789471077535744,1124792117419118592
