Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,50,0.75,0.4836308,BS,MAG-7_Copper_Coated,Bit,2024-04-18 11:05:53,Anubis
2,103,0.75,0.49713,FN,AWP_Black_Nile,DM,2024-04-18 11:03:55,Anubis
3,14,0.76,0.4278558,WW,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
4,51,0.8,0.9164038,BS,MAG-7_Copper_Coated,Bit,2024-04-18 11:05:53,Anubis
5,182,0.81,0.42783,FT,AK-47_Steel_Delta,DM,2024-04-18 11:04:41,Anubis
6,181,0.81,0.44163,FN,AWP_Black_Nile,DM,2024-04-18 11:04:41,Anubis
7,17,0.8208,0.4218,WW,Tec-9_Mummy's_Rot,Port,2024-04-18 10:59:36,Anubis
8,35,0.8316,0.4048,WW,Tec-9_Mummy's_Rot,Port,2024-04-18 10:59:36,Anubis
9,15,0.84,0.4128338,WW,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
10,8,0.84,0.4186958,WW,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
11,19,0.8532,0.3958,WW,MAG-7_Copper_Coated,Port,2024-04-18 10:59:36,Anubis
12,9,0.9,0.4251208,WW,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
13,16,0.91,0.4431278,WW,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
14,27,0.97,0.1854358,FT,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
15,74,0.9828,0.3978,WW,Tec-9_Mummy's_Rot,Port,2024-04-18 11:00:32,Anubis
16,48,1.0,0.2792728,FT,MAG-7_Copper_Coated,Bit,2024-04-18 11:05:18,Anubis
17,77,1.0044,0.4258,WW,Tec-9_Mummy's_Rot,Port,2024-04-18 11:00:32,Anubis
18,82,1.026,0.4178,WW,Tec-9_Mummy's_Rot,Port,2024-04-18 11:00:32,Anubis
19,49,1.03,0.3129698,FT,MAG-7_Copper_Coated,Bit,2024-04-18 11:05:18,Anubis
20,13,1.04,0.3945828,WW,MAG-7_Copper_Coated,Bit,2024-04-18 11:04:59,Anubis
21,80,1.0462,0.39388,WW,MAG-7_Copper_Coated,Money,2024-04-18 11:12:56,Anubis
