Index,Price,Float,Condition,Name,Site,Timestamp
1,2.82,0.5921768,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
2,12.03,0.5319238,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
3,2.6,0.4928868,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
4,1.47,0.6413088,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
5,1.47,0.6449818,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
6,1.47,0.5160038,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
7,1.47,0.4600898,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
8,2,0.5716948,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
9,2,0.5848148,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
10,2,0.5366188,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
11,2.38,0.4717398,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
12,1.47,0.5184918,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
13,2.84,0.4589468,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
14,2.75,0.4401688,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
15,3.25,0.4226318,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
16,2.9,0.4300508,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
17,2.74,0.4280558,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
18,1.82,0.3882228,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
19,2.35,0.4170178,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
20,2.35,0.4327038,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
21,2.35,0.3917018,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
22,2.75,0.4135458,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
23,1.38,0.4128258,WW,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
24,3,0.2873198,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
25,7,0.3023018,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
26,7,0.1993368,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
27,1.5,0.3235708,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
28,2.99,0.1885418,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
29,7,0.2654028,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
30,2.82,0.6329848,BS,AK-47_Steel_Delta,Bit,2024-04-18 10:57:52
31,11,0.0044568,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
32,10,0.0071118,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
33,20,0.0136908,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
34,20,0.0182968,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
35,20,0.0418158,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
36,3.28,0.0454138,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
37,3.27,0.0486478,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
38,6.8,0.0573098,FN,"AK-47_Steel_Delta_Name_Tag:_""By_Axnn_AK-47""",Bit,2024-04-18 10:58:21
39,2.55,0.0586908,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
40,3.66,0.0590968,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
41,2.59,0.0599778,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
42,2.59,0.0606248,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
43,20,0.0615678,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
44,6.85,0.0658308,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
45,3.27,0.0667028,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
46,4.55,0.0670018,FN,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
47,13.6,0.0702788,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
48,1.52,0.0724608,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
49,3.35,0.0728178,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
50,13.6,0.0737618,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
51,13.6,0.0753648,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
52,15,0.0794218,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
53,2.85,0.0797658,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
54,16,0.0798248,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
55,2.3,0.0814468,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
56,2.08,0.0820558,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
57,4,0.0829618,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
58,2.69,0.0852718,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
59,2.05,0.0884938,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
60,13.6,0.0949928,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:21
61,1.52,0.1355148,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:55
62,1.52,0.1406718,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:55
63,1.08,0.3216768,FT,AK-47_Steel_Delta,Bit,2024-04-18 10:58:55
64,1.58,0.1414688,MW,AK-47_Steel_Delta,Bit,2024-04-18 10:58:55
