Index,Price,Float,Condition,Name,Site,Timestamp
1,0.13,0.5532751083374023,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
2,0.13,0.5363739728927612,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
3,0.13,0.564453125,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
4,0.14,0.5598621368408203,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
5,0.14,0.6690872311592102,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
6,0.14,0.6682137846946716,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
7,0.14,0.4643605649471282,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
8,0.14,0.5568676590919494,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:12
9,0.16,0.4755181968212127,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
10,0.17,0.4996127486228942,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
11,0.17,0.4968656301498413,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
12,0.29,0.7167567014694213,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
13,0.34,0.5386441946029663,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
14,0.71,0.7282633781433105,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
15,0.99,0.4733554720878601,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
16,1.10,0.5109384059906005,BS,MP9_Modest_Threat,Halo,2024-03-21 15:51:15
