Index,Price,Float,Condition,Name,Site,Timestamp
1,0.12,0.1206986755132675,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
2,0.12,0.1281813234090805,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
3,0.12,0.1225221678614616,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
4,0.13,0.1159858256578445,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
5,0.17,0.1229150444269180,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
6,0.17,0.1163820549845695,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
7,0.17,0.0980716943740844,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
8,0.19,0.0730179548263549,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
9,0.20,0.0906243771314620,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:34
10,0.21,0.0766944140195846,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
11,0.21,0.0750060230493545,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
12,0.21,0.0805044844746589,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
13,0.21,0.0809718221426010,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
14,0.21,0.0860698670148849,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
15,0.21,0.0871007218956947,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
16,0.21,0.0940395593643188,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
17,0.21,0.0994380190968513,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
18,0.21,0.0960750579833984,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:45
19,0.21,0.0878185927867889,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
20,0.21,0.0902530997991561,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
21,0.71,0.0827424675226211,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
22,0.71,0.0989340320229530,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
23,0.85,0.0833484381437301,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
24,1.13,0.0733158886432647,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
25,1.69,0.1213695779442787,MW,Sawed-Off_Black_Sand,Halo,2024-03-21 19:09:47
