Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,36,0.0324,0.1868,FT,Negev_Ultralight,Port,2024-04-18 11:21:30,Fracture
2,4,0.0324,0.2828,FT,Negev_Ultralight,Port,2024-04-18 11:21:30,Fracture
3,46,0.0324,0.3018,FT,P90_Freight,Port,2024-04-18 11:21:30,Fracture
4,14,0.0324,0.3178,FT,P90_Freight,Port,2024-04-18 11:21:30,Fracture
5,49,0.0324,0.7868,BS,PP-Bizon_Runic,Port,2024-04-18 11:22:19,Fracture
6,25,0.0324,0.8818,BS,PP-Bizon_Runic,Port,2024-04-18 11:21:30,Fracture
7,48,0.0324,0.8968,BS,PP-Bizon_Runic,Port,2024-04-18 11:22:19,Fracture
8,61,0.0385,0.43398,WW,P250_Cassette,Money,2024-04-18 11:32:40,Fracture
9,62,0.0385,0.62028,BS,P90_Freight,Money,2024-04-18 11:32:40,Fracture
10,47,0.04,0.64113,WW,SG_553_Ol'_Rusty,DM,2024-04-18 11:25:28,Fracture
11,56,0.04,0.75723,WW,SG_553_Ol'_Rusty,DM,2024-04-18 11:25:28,Fracture
12,49,0.04,0.80493,WW,SG_553_Ol'_Rusty,DM,2024-04-18 11:25:28,Fracture
13,61,0.0432,0.2008,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:22:19,Fracture
14,55,0.0432,0.2038,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:22:19,Fracture
15,65,0.0432,0.2048,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:22:19,Fracture
16,74,0.0432,0.2118,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:22:19,Fracture
17,81,0.0432,0.2128,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:22:19,Fracture
18,57,0.0432,0.2138,FT,P2000_Gnarled,Port,2024-04-18 11:22:19,Fracture
19,78,0.0432,0.2158,FT,SSG_08_Mainframe_001,Port,2024-04-18 11:22:19,Fracture
20,7,0.0432,0.2228,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:21:30,Fracture
21,54,0.0432,0.2268,FT,SG_553_Ol'_Rusty,Port,2024-04-18 11:22:19,Fracture
