Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,4,21.5676,0.4708,BS,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
2,11,22.23,0.33853,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
3,13,22.25,0.32383,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
4,12,22.25,0.33293,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
5,14,22.3,0.25733,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
6,15,22.91,0.32323,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
7,16,22.91,0.32333,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
8,17,23.1,0.37813,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
9,26,23.25,0.54383,BS,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
10,3,25.0963,0.3438772559166,FT,M4A4_Radiation_Hazard,Monkey,2024-04-18 00:49:57,Nuke
11,2,25.0963,0.36011078953743,FT,M4A4_Radiation_Hazard,Monkey,2024-04-18 00:49:57,Nuke
12,20,25.55,0.36473,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
13,21,25.56,0.37763,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
14,23,25.71,0.29753,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
15,22,25.71,0.30743,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
16,3,28.1308,0.27388,FT,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20,Nuke
17,4,28.1308,0.28328,FT,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20,Nuke
18,25,34.2,0.18663,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
19,31,34.99,0.27663,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
20,35,36.99,0.24403,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
21,36,42.0,0.23673,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
22,30,44.0,0.15173,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
23,24,49.9,0.15073,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
24,34,50.0,0.16603,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
25,12,51.1488,0.1578,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
26,37,60.0,0.15053,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:44,Nuke
27,6,73.21,0.14213,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
28,7,73.28,0.14033,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
29,13,74.52,0.2158,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
30,8,75.41,0.14973,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
31,1,75.6,0.1318,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
32,10,77.97,0.12873,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
33,18,83.0,0.14763,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
34,19,84.0,0.14623,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
35,5,84.24,0.1488,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
36,1,84.9556,0.13569274544716,MW,M4A4_Radiation_Hazard,Monkey,2024-04-18 00:49:57,Nuke
37,28,90.0,0.12663,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
38,1,90.2231,0.14838,MW,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20,Nuke
39,2,90.7462,0.12768,MW,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20,Nuke
40,32,96.2,0.09343,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
41,38,99.9,0.12793,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:44,Nuke
42,11,108.0,0.1408,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
43,14,108.8748,0.1138,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
44,3,518.4,0.0688,FN,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
45,7,528.5088,0.0698,FN,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33,Nuke
46,1,557.5,0.06843,FN,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38,Nuke
