Index,Price,Float,Condition,Name,Site,Timestamp
1,75.6,0.1318,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
2,31.3308,0.3568,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
3,518.4,0.0688,FN,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
4,21.5676,0.4708,BS,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
5,84.24,0.1488,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
6,50.4144,0.3278,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
7,528.5088,0.0698,FN,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
8,30.2292,0.4968,BS,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
9,97.2,0.1498,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
10,54.7344,0.3318,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
11,108,0.1408,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
12,51.1488,0.1578,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
13,74.52,0.2158,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
14,108.8748,0.1138,MW,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
15,318.6,0.3368,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
16,1620,0.1518,FT,M4A4_Radiation_Hazard,Port,2024-04-18 00:45:33
1,557.5,0.06843,FN,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
2,27.98,0.38863,WW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
3,28,0.38623,WW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
4,28.88,0.39663,WW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
5,29,0.39573,WW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
6,73.21,0.14213,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
7,73.28,0.14033,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
8,75.41,0.14973,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
9,32.99,0.38853,WW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
10,77.97,0.12873,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
11,22.23,0.33853,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
12,22.25,0.33293,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
13,22.25,0.32383,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
14,22.3,0.25733,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
15,22.91,0.32323,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
16,22.91,0.32333,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
17,23.1,0.37813,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
18,83,0.14763,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
19,84,0.14623,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
20,25.55,0.36473,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
21,25.56,0.37763,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
22,25.71,0.30743,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
23,25.71,0.29753,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
24,49.9,0.15073,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
25,34.2,0.18663,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
26,23.25,0.54383,BS,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
27,33.57,0.36523,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
28,90,0.12663,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
29,33.58,0.34153,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
30,44,0.15173,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
31,34.99,0.27663,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
32,96.2,0.09343,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
33,36.99,0.35703,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
34,50,0.16603,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
35,36.99,0.24403,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
36,42,0.23673,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:38
37,60,0.15053,FT,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:44
38,99.9,0.12793,MW,M4A4_Radiation_Hazard,DM,2024-04-18 00:47:44
1,84.9556,0.13569274544716,MW,M4A4_Radiation_Hazard,Monkey,2024-04-18 00:49:57
2,25.0963,0.36011078953743,FT,M4A4_Radiation_Hazard,Monkey,2024-04-18 00:49:57
3,25.0963,0.3438772559166,FT,M4A4_Radiation_Hazard,Monkey,2024-04-18 00:49:57
1,90.2231,0.14838,MW,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20
2,90.7462,0.12768,MW,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20
3,28.1308,0.27388,FT,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20
4,28.1308,0.28328,FT,M4A4_Radiation_Hazard,Money,2024-04-18 00:51:20
