Index,Price,Float,Condition,Name,Site,Timestamp
1,0.18,0.4076990783214569,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
2,0.22,0.4081577360630035,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
3,0.22,0.3932858109474182,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
4,0.33,0.4112835526466369,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
5,0.85,0.4095372259616851,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
6,0.97,0.4137300848960876,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
7,0.97,0.4424191415309906,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
8,0.97,0.4221924543380737,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
9,0.97,0.4430616497993469,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:08
10,0.97,0.4465092718601226,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:13
11,0.97,0.4479623734951019,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:13
12,0.97,0.3812426924705505,WW,FAMAS_Teardown,Halo,2024-03-21 20:33:13
1,0.18,0.400141179561615,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
2,0.20,0.3889990448951721,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
3,0.20,0.41715559363365173,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
4,0.20,0.3932858109474182,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
5,0.20,0.4079206585884094,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
6,0.20,0.41500401496887207,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
7,0.20,0.42438676953315735,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
8,0.21,0.41670501232147217,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
9,0.21,0.4400888979434967,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
10,0.21,0.4395366609096527,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
11,0.23,0.4076990783214569,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
12,0.27,0.4081577360630035,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
13,0.41,0.4112835526466369,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
14,1.03,0.4095372259616851,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
15,1.17,0.4430616497993469,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
16,1.17,0.4424191415309906,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
17,1.17,0.4221924543380737,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
18,1.17,0.4465092718601226,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
19,1.17,0.4479623734951019,WW,FAMAS_Teardown,CS2GO,2024-03-21 20:33:25
