Index,Price,Float,Condition,Name,Site,Timestamp
1,0.21,0.4349971711635589,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
2,0.21,0.3850828111171722,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
3,0.22,0.3868855237960815,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
4,0.71,0.4071184098720550,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
5,0.85,0.4367476105690002,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
6,1.01,0.4499980211257934,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
7,2.09,0.4423869252204895,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
8,2.09,0.4326360523700714,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
9,2.10,0.3941758275032043,WW,M249_O.S.I.P.R.,Halo,2024-03-21 21:18:54
1,0.12,0.4235731363296509,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
2,0.12,0.42892923951148987,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
3,0.12,0.4419237971305847,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
4,0.12,0.44093436002731323,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
5,0.12,0.40953606367111206,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
6,0.12,0.44931915402412415,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
7,0.12,0.4240087866783142,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
8,0.12,0.3990858197212219,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
9,0.13,0.4452398717403412,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
10,0.13,0.392056941986084,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
11,0.27,0.3868855237960815,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
12,0.27,0.4349971711635589,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
13,0.27,0.3850828111171722,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
14,0.86,0.407118409872055,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
15,1.03,0.4367476105690002,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
16,1.23,0.4499980211257934,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
17,1.37,0.408495157957077,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
18,2.54,0.3941758275032043,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
19,2.54,0.4423869252204895,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
20,2.54,0.4326360523700714,WW,M249_O.S.I.P.R.,CS2GO,2024-03-21 21:19:06
