Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,133,3.25,0.807625,MW,Nova_Sobek's_Bite,DMarket,2024-04-06 18:29:11,Anubis
2,135,3.26,0.506825,MW,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
3,141,3.28,0.873525,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
4,145,3.29,0.854225,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
5,143,3.35,0.919225,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
6,151,3.4,0.715525,FT,P90_ScaraB_Rush,DMarket,2024-04-06 18:29:11,Anubis
7,159,3.47,0.499025,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
8,161,3.47,0.547625,WW,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
9,163,3.47,0.554125,WW,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
10,157,3.52,0.840625,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
11,165,3.66,0.578725,WW,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
12,153,3.76,0.759525,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
13,125,4.1,0.440225,FN,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
14,127,4.11,0.400925,FN,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
15,129,4.12,0.397225,FN,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
16,137,4.2,0.418425,FT,Glock-18_Ramese's_Reach,DMarket,2024-04-06 18:29:11,Anubis
17,3,4.212,0.39975,WW,Nova_Sobek's_Bite,Port,2024-04-06 18:28:11,Anubis
