Index,Price,Float,Condition,Name,Site,Timestamp
1,6.1452,0.36675,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
3,4.212,0.39975,WW,Nova_Sobek's_Bite,Port,2024-04-06 18:28:11
5,4.2876,0.40475,WW,Nova_Sobek's_Bite,Port,2024-04-06 18:28:11
7,6.3828,0.31175,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
9,5.8104,0.34675,FT,P90_ScaraB_Rush,Port,2024-04-06 18:28:11
11,4.8276,0.39775,WW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
13,10.53,0.14575,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
15,10.53,0.13675,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
17,10.53,0.13975,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
19,10.53,0.14775,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
21,6.5664,0.29575,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
23,6.5664,0.36575,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
25,5.886,0.24375,FT,P90_ScaraB_Rush,Port,2024-04-06 18:28:11
27,5.9724,0.22075,FT,P90_ScaraB_Rush,Port,2024-04-06 18:28:11
29,10.7892,0.13475,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
31,10.7892,0.14975,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
33,10.8,0.13775,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
35,16.2108,0.05575,FN,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
37,5.9508,0.22775,FT,Nova_Sobek's_Bite,Port,2024-04-06 18:28:11
39,6.0264,0.35275,FT,Nova_Sobek's_Bite,Port,2024-04-06 18:28:11
41,11.1672,0.14375,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
43,11.1132,0.12275,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
45,11.1132,0.13075,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
47,11.1132,0.13275,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
49,11.1132,0.13375,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
51,11.1132,0.14675,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
53,11.1132,0.13175,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
55,11.1132,0.11475,MW,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
57,16.5996,0.04775,FN,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
59,7.1496,0.34075,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
61,7.1496,0.33675,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
63,7.1496,0.32875,FT,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
65,17.226,0.06975,FN,Glock-18_Ramese's_Reach,Port,2024-04-06 18:28:11
67,6.48,0.21175,FT,P90_ScaraB_Rush,Port,2024-04-06 18:28:11
69,13.8132,0.05975,FN,Nova_Sobek's_Bite,Port,2024-04-06 18:28:11
