Index,Price,Float,Condition,Name,Site,Timestamp
1,1.27,0.4952543973922729,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
2,1.41,0.4775379896163940,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
3,1.68,0.4892125725746154,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
4,1.68,0.4515832364559173,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
5,1.68,0.4595133960247039,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
6,1.68,0.4912594556808471,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
7,1.68,0.4761090874671936,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
8,1.68,0.4508821964263916,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:09
9,1.68,0.4953303933143615,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
10,1.68,0.4868375658988952,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
11,1.68,0.4914404749870300,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
12,1.68,0.4895993471145629,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
13,1.68,0.4505673050880432,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
14,1.68,0.4771270751953125,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
15,1.68,0.4995512962341308,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
16,1.68,0.4569924175739288,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
17,1.68,0.4823728203773498,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
18,1.69,0.4803608655929565,BS,Galil_AR_Signal,Halo,2024-03-20 16:44:28
