Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,38,0.216,0.4028,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
2,56,0.216,0.4038,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
3,59,0.216,0.4178,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
4,58,0.216,0.4238,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
5,60,0.216,0.4408,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
6,18,0.216,0.4468,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
7,21,0.216,0.4698,BS,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
8,49,0.216,0.4718,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
9,51,0.216,0.5508,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
10,52,0.216,0.6038,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
11,112,0.22,0.44383,WW,PP-Bizon_Space_Cat,DM,2024-04-17 23:07:51,Dreams_&_Nightmares
12,79,0.2268,0.3988,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31,Dreams_&_Nightmares
13,22,0.2268,0.4318,WW,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
14,24,0.2268,0.4548,BS,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
15,97,0.2308,0.40948,WW,G3SG1_Dream_Glade,Money,2024-04-17 23:11:18,Dreams_&_Nightmares
16,43,0.2376,0.4068,WW,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
17,23,0.2376,0.4428,WW,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
18,142,0.24,0.40373,WW,G3SG1_Dream_Glade,DM,2024-04-17 23:08:20,Dreams_&_Nightmares
19,101,0.2462,0.43378,WW,PP-Bizon_Space_Cat,Money,2024-04-17 23:11:18,Dreams_&_Nightmares
20,37,0.2484,0.2398,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
21,57,0.2484,0.2938,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
22,48,0.2484,0.3308,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
23,16,0.2484,0.3468,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12,Dreams_&_Nightmares
24,145,0.25,0.38923,WW,G3SG1_Dream_Glade,DM,2024-04-17 23:08:20,Dreams_&_Nightmares
25,143,0.25,0.40643,WW,XM1014_Zombie_Offensive,DM,2024-04-17 23:08:20,Dreams_&_Nightmares
26,72,0.2592,0.1998,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07,Dreams_&_Nightmares
