Index,Price,Float,Condition,Name,Site,Timestamp
1,1.728,0.6138,BS,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
2,1.6092,0.0648,FN,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
3,1.3824,0.0668,FN,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
4,0.6264,0.1488,MW,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
5,1.1664,0.0678,FN,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
6,0.4752,0.1828,FT,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
7,0.7452,0.0958,MW,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
8,1.3932,0.0688,FN,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
9,0.3672,0.3108,FT,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
10,0.5832,0.1148,MW,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
11,0.5508,0.1338,MW,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
12,0.3024,0.2718,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
13,1.3068,0.4348,WW,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
14,0.3132,0.2658,FT,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
15,0.4536,0.0978,MW,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
16,0.2484,0.3468,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
17,0.2484,0.6868,BS,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
18,0.216,0.4468,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
19,0.4212,0.3858,WW,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
20,0.216,0.7448,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
21,0.216,0.4698,BS,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
22,0.2268,0.4318,WW,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
23,0.2376,0.4428,WW,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
24,0.2268,0.4548,BS,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
25,1.62,0.0618,FN,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
26,1.7496,0.0568,FN,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
27,0.9396,0.0658,FN,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
28,0.7668,0.1258,MW,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
29,0.4752,0.2048,FT,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
30,0.7452,0.1478,MW,M4A1-S_Night_Terror,Port,2024-04-17 23:05:12
31,0.378,0.3418,FT,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
32,0.4968,0.1358,MW,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
33,0.5508,0.1278,MW,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
34,0.3024,0.2798,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
35,0.3132,0.2038,FT,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
36,0.594,0.1178,MW,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
37,0.2484,0.2398,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
38,0.216,0.4028,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
39,0.54,0.4368,WW,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
40,0.2916,0.6058,BS,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:12
41,0.2592,0.6018,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:05:12
42,0.2808,0.6688,BS,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
43,0.2376,0.4068,WW,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
44,0.2484,0.4458,WW,PP-Bizon_Space_Cat,Port,2024-04-17 23:05:12
45,0.4212,0.4608,BS,XM1014_Zombie_Offensive,Port,2024-04-17 23:05:12
46,75.5892,0.0008,FN,M4A1-S_Night_Terror,Port,2024-04-17 23:05:34
47,6.1992,0.0018,FN,USP-S_Ticket_to_Hell,Port,2024-04-17 23:05:34
48,0.2484,0.3308,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
49,0.216,0.4718,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
50,0.216,0.8418,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
51,0.216,0.5508,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
52,0.216,0.6038,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
53,0.216,0.9828,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
54,0.216,0.6328,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
55,0.216,0.6168,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
56,0.216,0.4038,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
57,0.2484,0.2938,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07
58,0.216,0.4238,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
59,0.216,0.4178,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
60,0.216,0.4408,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
61,0.2592,0.3438,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
62,0.2592,0.3528,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
63,0.2592,0.2848,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
64,0.2592,0.2628,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
65,0.2592,0.3398,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
66,0.27,0.2898,FT,XM1014_Zombie_Offensive,Port,2024-04-17 23:06:07
67,0.27,0.3098,FT,XM1014_Zombie_Offensive,Port,2024-04-17 23:06:07
68,0.4644,0.1368,MW,XM1014_Zombie_Offensive,Port,2024-04-17 23:06:07
69,0.2592,0.2578,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
70,0.2592,0.3798,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
71,0.2592,0.3158,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
72,0.2592,0.1998,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:07
73,0.2268,0.6078,BS,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07
74,0.2268,0.4628,BS,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07
75,0.9504,0.0698,FN,XM1014_Zombie_Offensive,Port,2024-04-17 23:06:07
76,0.5184,0.1498,MW,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07
77,0.5184,0.1288,MW,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07
78,0.5184,0.1268,MW,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:07
79,0.2268,0.3988,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31
80,0.2376,0.6698,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31
81,0.2484,0.4388,WW,XM1014_Zombie_Offensive,Port,2024-04-17 23:06:31
82,0.2592,0.2368,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:31
83,0.2592,0.2858,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:31
84,0.2592,0.2878,FT,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:31
85,0.27,0.6568,BS,PP-Bizon_Space_Cat,Port,2024-04-17 23:06:31
86,0.27,0.4128,WW,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31
87,0.27,0.5028,BS,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31
88,0.27,0.3268,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31
89,0.27,0.3228,FT,G3SG1_Dream_Glade,Port,2024-04-17 23:06:31
1,1.25,0.06703,FN,XM1014_Zombie_Offensive,DM,2024-04-17 23:07:08
2,1.15,0.06003,FN,PP-Bizon_Space_Cat,DM,2024-04-17 23:07:08
3,1.31,0.06973,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
4,1.33,0.05883,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
5,1.39,0.05353,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
6,1.39,0.05543,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
7,1.49,0.05643,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
8,1.49,0.06353,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
9,1.49,0.06183,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
10,1.41,0.03163,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
11,1.41,0.05803,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
12,1.5,0.06983,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
13,1.42,0.06343,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
14,1.43,0.06803,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
15,1.43,0.02963,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
16,1.52,0.04783,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
17,1.52,0.06613,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
18,1.53,0.06713,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
19,1.53,0.06143,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
20,1.53,0.06823,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
21,1.44,0.06163,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
22,1.44,0.05723,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
23,1.44,0.06583,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
24,1.44,0.06933,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
25,1.44,0.06053,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
26,1.44,0.06523,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
27,1.44,0.01833,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
28,1.45,0.06433,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
29,1.54,0.05923,FN,USP-S_Ticket_to_Hell,DM,2024-04-17 23:07:08
30,1.45,0.06333,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
31,1.45,0.05933,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
32,1.45,0.06853,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
33,1.45,0.06863,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:08
34,1.45,0.06293,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
35,1.45,0.04543,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
36,1.45,0.06413,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
37,1.45,0.06423,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
38,1.45,0.05413,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
39,1.45,0.05953,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
40,1.45,0.06493,FN,M4A1-S_Night_Terror,DM,2024-04-17 23:07:15
