Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,86,0.2385,0.42968,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
2,87,0.2462,0.93468,BS,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
3,88,0.2615,0.41428,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
4,91,0.2692,0.40428,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
5,90,0.2692,0.41528,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
6,92,0.2692,0.42528,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
7,89,0.2692,0.43178,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
8,94,0.2692,0.43648,WW,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
9,93,0.2692,0.66008,BS,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
10,98,0.2769,0.46688,BS,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
11,97,0.2769,0.56748,BS,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
12,96,0.2769,0.64598,BS,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
13,101,0.2923,0.50988,BS,Tec-9_Bamboozle,Money,2024-04-17 21:13:08,Prisma
14,102,0.3077,0.51958,BS,Tec-9_Bamboozle,Money,2024-04-17 21:13:08,Prisma
15,112,0.3385,0.24788,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
16,113,0.3385,0.25528,FT,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
17,114,0.3385,0.40028,WW,Tec-9_Bamboozle,Money,2024-04-17 21:13:08,Prisma
18,133,0.3462,0.15648,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
19,135,0.3462,0.16318,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
20,136,0.3462,0.16518,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
21,122,0.3462,0.16908,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
22,115,0.3462,0.17818,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
23,118,0.3462,0.18678,FT,UMP-45_Moonrise,Money,2024-04-17 21:13:08,Prisma
24,120,0.3462,0.19688,FT,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
25,128,0.3462,0.20808,FT,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
26,117,0.3462,0.20958,FT,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
27,130,0.3462,0.21378,FT,MP5-SD_Gauss,Money,2024-04-17 21:13:08,Prisma
28,140,0.3846,0.20548,FT,Tec-9_Bamboozle,Money,2024-04-17 21:13:08,Prisma
29,85,0.6077,0.09088,MW,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
30,80,0.7462,0.08318,MW,Tec-9_Bamboozle,Money,2024-04-17 21:12:54,Prisma
31,83,0.7462,0.08788,MW,Tec-9_Bamboozle,Money,2024-04-17 21:12:54,Prisma
32,69,1.1615,0.06498,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
33,59,1.2692,0.04428,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
34,63,1.2692,0.04778,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
35,65,1.2692,0.05378,FN,MP5-SD_Gauss,Money,2024-04-17 21:12:54,Prisma
36,57,1.3154,0.03348,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
37,58,1.3154,0.04348,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
38,60,1.3154,0.04468,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
39,61,1.3154,0.04668,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
40,64,1.3154,0.04918,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
41,71,1.3154,0.06728,FN,UMP-45_Moonrise,Money,2024-04-17 21:12:54,Prisma
42,68,1.3846,0.06128,FN,MP5-SD_Gauss,Money,2024-04-17 21:12:54,Prisma
43,62,1.6231,0.04768,FN,Tec-9_Bamboozle,Money,2024-04-17 21:12:54,Prisma
44,66,1.6231,0.05448,FN,Tec-9_Bamboozle,Money,2024-04-17 21:12:54,Prisma
45,14,15.6077,0.03728,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
46,4,15.6077,0.04608,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
47,15,15.6538,0.03688,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
48,16,15.9,0.02968,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
49,17,16.0692,0.02548,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
50,18,16.0846,0.03178,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
51,19,16.0923,0.02498,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
52,20,16.1692,0.02338,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
53,22,17.0923,0.01118,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
54,24,17.8538,0.01798,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
55,25,18.0385,0.00448,FN,AWP_Atheris,Money,2024-04-17 21:12:33,Prisma
