Index,Price,Float,Condition,Name,Site,Timestamp
1,0.35,0.3826233744621276,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
2,0.39,0.4135022163391113,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
3,0.56,0.4201879799365997,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
4,0.70,0.4309288859367370,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
5,0.76,0.3936519622802734,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
6,0.83,0.3897017836570739,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
7,1.54,0.3882557153701782,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
8,3.22,0.4457690715789794,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:53
9,3.22,0.4318872392177581,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
10,3.22,0.3983240127563476,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
11,3.22,0.4432753622531890,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
12,4.14,0.4307054877281188,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
13,4.14,0.3861448764801025,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
14,5.45,0.4161907732486724,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
15,5.45,0.4385752677917480,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
16,5.56,0.4099233448505401,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:32:56
17,5.59,0.3808042407035827,WW,Glock-18_Umbral_Rabbit,Halo,2024-04-04 22:33:01
1,0.38,0.4496842622756958,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
2,0.38,0.43287456035614014,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
3,0.39,0.3863587975502014,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
4,0.39,0.4312186539173126,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
5,0.39,0.40537482500076294,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
6,0.39,0.4426077604293823,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
7,0.39,0.41214653849601746,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
8,0.40,0.3806897699832916,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
9,0.40,0.4115865230560303,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
10,0.40,0.38500043749809265,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
11,0.45,0.3826233744621276,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
12,0.49,0.4135022163391113,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
13,0.69,0.4201879799365997,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
14,0.86,0.430928885936737,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
15,0.94,0.3936519622802734,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
16,1.01,0.3897017836570739,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
17,1.47,0.438291311264038,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
18,1.47,0.3914968371391296,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
19,1.47,0.3924883008003234,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
20,1.47,0.3992917835712432,WW,Glock-18_Umbral_Rabbit,CS2GO,2024-04-04 22:33:18
1,0.359159,0.3993358612060547,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
2,0.359159,0.4173640012741089,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
3,0.359159,0.4137338697910309,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
4,0.359159,0.38307908177375793,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
5,0.359159,0.4466486871242523,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
6,0.359159,0.41099095344543457,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
7,0.359159,0.43667158484458923,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
8,0.359159,0.41741153597831726,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
9,0.359159,0.44609540700912476,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
10,0.359159,0.425549179315567,WW,Glock-18_Umbral_Rabbit,Buff,2024-04-04 22:33:30
