Index,Price,Float,Condition,Name,Site,Timestamp
1,0.40,0.2669244110584259,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
2,0.42,0.3054205477237701,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
3,0.42,0.2649680674076080,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
4,0.42,0.2621334195137023,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
5,0.42,0.2662777900695800,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
6,0.42,0.2536435425281524,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
7,0.42,0.2432670891284942,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
8,0.42,0.3522110581398010,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
9,0.42,0.3236538767814636,FT,P90_Neoqueen,Halo,2024-03-20 21:39:59
10,0.42,0.2490179240703582,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
11,0.42,0.2791823148727416,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
12,0.42,0.2178735882043838,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
13,0.42,0.2408738881349563,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
14,0.42,0.2503297626972198,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
15,0.42,0.3770242929458618,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
16,0.42,0.2644043862819671,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
17,0.43,0.2352810055017471,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
18,0.43,0.2949853837490081,FT,P90_Neoqueen,Halo,2024-03-20 21:40:10
19,0.43,0.2923095822334289,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
20,0.43,0.2718744874000549,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
21,0.43,0.2591185569763183,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
22,0.43,0.2536816000938415,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
23,0.43,0.3281413316726684,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
24,0.43,0.2666631340980529,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
25,0.43,0.2670388519763946,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
26,0.43,0.2686685025691986,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
27,0.43,0.2452279627323150,FT,P90_Neoqueen,Halo,2024-03-20 21:40:15
28,0.43,0.2657976746559143,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
29,0.43,0.2554305195808410,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
30,0.43,0.2384087890386581,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
31,0.44,0.2743431031703948,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
32,0.44,0.2391703724861145,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
33,0.44,0.3291242718696594,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
34,0.44,0.2698998451232910,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
35,0.44,0.2887460291385650,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
36,0.44,0.2514670491218566,FT,P90_Neoqueen,Halo,2024-03-20 21:40:21
37,0.44,0.3269450664520263,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
38,0.44,0.2389286458492279,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
39,0.44,0.2538553774356842,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
40,0.44,0.3276344537734985,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
41,0.44,0.2483855783939361,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
42,0.44,0.3004386425018310,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
43,0.44,0.2437415719032287,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
44,0.44,0.2428342252969741,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
45,0.44,0.2691664397716522,FT,P90_Neoqueen,Halo,2024-03-20 21:40:29
46,0.44,0.2366337627172470,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
47,0.44,0.3325731754302978,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
48,0.44,0.2675562202930450,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
49,0.44,0.2657545208930969,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
50,0.44,0.2464534044265747,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
51,0.44,0.2447867244482040,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
52,0.44,0.2509144842624664,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
53,0.44,0.2362973242998123,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
54,0.44,0.2208648324012756,FT,P90_Neoqueen,Halo,2024-03-20 21:40:38
