Index,Price,Float,Condition,Name,Site,Timestamp
1,0.49,0.4279245734214782,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
2,0.49,0.3840383589267730,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
3,0.49,0.4140630960464477,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
4,0.49,0.3905835151672363,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
5,0.49,0.4459155201911926,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
6,0.49,0.4091167747974395,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
7,0.50,0.3802359700202941,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
8,0.51,0.3919050991535186,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
9,0.54,0.4384864270687103,WW,P90_Neoqueen,Halo,2024-04-04 22:36:08
10,0.54,0.4346551001071929,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
11,0.58,0.4076544344425201,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
12,0.69,0.4488493800163269,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
13,0.70,0.4309613406658172,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
14,0.77,0.4356833100318908,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
15,0.82,0.4300610125064849,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
16,0.83,0.3854449689388275,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
17,0.98,0.4405033290386199,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
18,1.00,0.4158011376857757,WW,P90_Neoqueen,Halo,2024-04-04 22:36:12
19,1.12,0.4299037158489227,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
20,1.24,0.4444748461246490,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
21,1.68,0.4324417114257812,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
22,1.71,0.4274263978004455,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
23,1.96,0.3838864862918853,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
24,2.24,0.4207223355770111,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
25,2.80,0.4348756372928619,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
26,3.08,0.4499191343784332,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
27,3.75,0.3994718492031097,WW,P90_Neoqueen,Halo,2024-04-04 22:36:15
28,3.75,0.3935563862323760,WW,P90_Neoqueen,Halo,2024-04-04 22:36:20
29,3.75,0.4008967876434326,WW,P90_Neoqueen,Halo,2024-04-04 22:36:20
30,3.75,0.4015496075153350,WW,P90_Neoqueen,Halo,2024-04-04 22:36:20
31,4.04,0.3926461338996887,WW,P90_Neoqueen,Halo,2024-04-04 22:36:20
32,8.07,0.3862758576869964,WW,P90_Neoqueen,Halo,2024-04-04 22:36:20
33,9.05,0.4355069398880004,WW,P90_Neoqueen,Halo,2024-04-04 22:36:20
