Index,Price,Float,Condition,Name,Site,Timestamp
1,0.4212,0.50375,BS,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
2,0.2916,0.43975,WW,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
3,0.3456,0.44975,WW,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
4,0.3456,0.40075,WW,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
5,0.3456,0.42775,WW,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
6,0.3456,0.41475,WW,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
7,0.2484,0.53275,BS,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
8,0.3456,0.24775,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:37
9,0.3024,0.39075,WW,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
10,0.3024,0.39375,WW,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
11,0.3348,0.39575,WW,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:37
12,0.7776,0.38375,WW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
13,0.3564,0.44675,WW,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
14,0.4428,0.50075,BS,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
15,0.4428,0.69975,BS,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
16,0.3456,0.26075,FT,P90_Neoqueen,Port,2024-04-06 20:39:37
17,0.3456,0.26675,FT,P90_Neoqueen,Port,2024-04-06 20:39:37
18,0.3564,0.26875,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:37
19,0.3456,0.24475,FT,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
20,1.404,0.03475,FN,P90_Neoqueen,Port,2024-04-06 20:39:37
21,0.6804,0.13475,MW,P90_Neoqueen,Port,2024-04-06 20:39:37
22,0.3672,0.31075,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:37
23,0.9288,0.37675,FT,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
24,0.3564,0.43375,WW,P90_Neoqueen,Port,2024-04-06 20:39:37
25,0.5616,0.27475,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
26,0.5616,0.19175,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
27,0.3672,0.22475,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:37
28,0.3672,0.44275,WW,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
29,0.3672,0.29375,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:37
30,0.3672,0.33175,FT,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
31,0.9504,0.34175,FT,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
32,1.35,0.10675,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
33,0.4644,0.58675,BS,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
34,0.27,0.67675,BS,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
35,1.3716,0.07475,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
36,1.3824,0.11475,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
37,1.3824,0.10475,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
38,1.3824,0.09175,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
39,1.3824,0.07675,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
40,1.3932,0.09575,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
41,1.3932,0.13375,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
42,0.378,0.39175,WW,P90_Neoqueen,Port,2024-04-06 20:39:37
43,0.486,0.78575,BS,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
44,0.6048,0.33775,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
45,0.2808,0.52875,BS,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:37
46,0.6048,0.25775,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
47,0.6156,0.26175,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
48,0.6156,0.17875,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:37
49,1.0152,0.31675,FT,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
50,1.0152,0.34875,FT,MAC-10_Sakkaku,Port,2024-04-06 20:39:37
51,1.7388,0.06175,FN,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:52
52,1.0152,0.31775,FT,MAC-10_Sakkaku,Port,2024-04-06 20:39:52
53,0.3888,0.24375,FT,P90_Neoqueen,Port,2024-04-06 20:39:52
54,0.6156,0.31275,FT,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
55,0.3456,0.44175,WW,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:52
56,0.3456,0.41175,WW,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:52
57,1.458,0.11275,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
58,1.458,0.07575,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
59,1.4688,0.13275,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
60,3.3264,0.06375,FN,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
61,1.782,0.06575,FN,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:52
62,3.3372,0.06675,FN,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
63,0.3996,0.27375,FT,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:52
64,0.3996,0.34675,FT,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:52
65,0.5076,0.68075,BS,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
66,0.4104,0.30775,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:52
67,0.4104,0.32875,FT,Glock-18_Umbral_Rabbit,Port,2024-04-06 20:39:52
68,0.2916,0.46875,BS,R8_Revolver_Banana_Cannon,Port,2024-04-06 20:39:52
69,1.4904,0.11075,MW,M4A1-S_Emphorosaur-S,Port,2024-04-06 20:39:52
