Rarity,Item,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN ST,MW ST,FT ST,WW ST,BS ST
Covert,M4A4 The Emperor,0,0.8,7/14/2023 15:36:52,EUR,148.46,39.21,11.37,9.08,6.77,472.46,107.06,30.84,25.11,21.40
Covert,Five-SeveN Angry Mob,0.05,0.7,7/14/2023 15:37:07,EUR,11.00,5.98,2.94,3.20,2.67,51.34,14.95,7.51,10.21,6.07
Classified,AUG Momentum,0.05,1,7/14/2023 15:38:11,EUR,25.17,5.29,1.71,1.35,1.35,83.68,16.03,3.95,2.84,2.71
Classified,XM1014 Incinegator,0.14,0.65,7/14/2023 15:38:10,EUR,null,9.18,1.60,1.65,1.30,null,40.68,2.98,2.40,2.51
Classified,R8-Revolver Skull Crusher,0.25,0.8,7/14/2023 15:37:33,EUR,null,null,1.60,1.30,1.34,null,null,3.49,2.63,2.12
Restricted,AWP Atheris,0,1,7/14/2023 15:36:42,EUR,11.79,4.79,2.17,1.54,1.57,39.86,14.16,5.79,5.03,4.60
Restricted,Desert-Eagle Light Rail,0,0.9,7/14/2023 15:37:53,EUR,3.45,1.28,0.49,0.49,0.47,11.85,4.75,2.21,2.47,2.25
Restricted,UMP-45 Moonrise,0,0.4,7/14/2023 15:38:03,EUR,1.15,0.53,0.30,0.45,null,2.58,1.06,0.52,0.92,null
Restricted,Tec-9 Bamboozle,0,0.8,7/14/2023 15:38:13,EUR,1.26,0.53,0.24,0.28,0.24,3.66,1.34,0.54,0.98,0.49
Restricted,MP5-SD Gauss,0,1,7/14/2023 15:37:25,EUR,1.13,0.51,0.24,0.23,0.23,2.86,0.99,0.43,0.40,0.38
Mil-Spec,AK-47 Uncharted,0,0.75,7/14/2023 15:34:34,EUR,1.02,0.38,0.23,0.53,0.24,4.26,2.17,1.66,2.79,1.78
Mil-Spec,Galil-AR Akoben,0,0.75,7/14/2023 15:37:43,EUR,0.42,0.22,0.13,0.21,0.13,1.38,0.65,0.24,0.55,0.22
Mil-Spec,FAMAS Crypsis,0,0.55,7/14/2023 15:37:55,EUR,0.37,0.22,0.11,0.13,0.10,1.40,0.61,0.24,0.24,0.22
Mil-Spec,P90 Off World,0,0.75,7/14/2023 15:38:06,EUR,0.40,0.22,0.11,0.13,0.10,1.60,0.63,0.25,0.44,0.18
Mil-Spec,P250 Verdigris,0,0.7,7/14/2023 15:35:18,EUR,0.37,0.24,0.11,0.13,0.10,1.55,0.67,0.24,0.26,0.22
Mil-Spec,MAC-10 Whitefish,0,1,7/14/2023 15:37:27,EUR,0.57,0.21,0.11,0.10,0.10,1.87,0.66,0.24,0.20,0.20
Mil-Spec,MP7 Mischief,0.1,1,7/14/2023 15:38:39,EUR,null,0.34,0.11,0.11,0.10,null,1.14,0.25,0.22,0.18
