Rarity,Wear,Timestamp,Min Float,Max Float,EV,ST EV
Covert,FN+FN+FN+FN,6/16/2023 09:03:25,0.0,0.0307691,68.44,161.35
Covert,FN+FN+MW+FN,6/16/2023 09:03:25,0.0307692,0.0823528,68.44,161.35
Covert,MW+FN+MW+FN,6/16/2023 09:03:25,0.0823529,0.0999999,26.2,57.59
Covert,MW+MW+MW+FN,6/16/2023 09:03:25,0.1,0.1399998,23.91,50.53
Covert,MW+MW+MW+MW,6/16/2023 09:03:25,0.1399999,0.153846,23.91,50.53
Covert,MW+MW+FT+MW,6/16/2023 09:03:25,0.1538461,0.1764705,23.91,50.53
Covert,FT+MW+FT+MW,6/16/2023 09:03:25,0.1764706,0.2142856,17.08,36.53
Covert,FT+FT+FT+MW,6/16/2023 09:03:25,0.2142857,0.2999998,15.17,31.43
Covert,FT+FT+FT+FT,6/16/2023 09:03:25,0.2999999,0.4470587,15.17,31.43
Covert,WW+FT+FT+FT,6/16/2023 09:03:25,0.4470588,0.5076922,15.2,32.34
Covert,WW+FT+WW+FT,6/16/2023 09:03:25,0.5076923,0.5294116,15.2,32.34
Covert,BS+FT+WW+FT,6/16/2023 09:03:25,0.5294117,0.542857,12.5,26.06
Covert,BS+WW+WW+FT,6/16/2023 09:03:25,0.5428571,0.6153845,12.33,24.92
Covert,BS+WW+BS+FT,6/16/2023 09:03:25,0.6153846,0.642857,12.33,24.92
Covert,BS+BS+BS+FT,6/16/2023 09:03:25,0.6428571,0.7599998,11.39,24.02
Covert,BS+BS+BS+WW,6/16/2023 09:03:25,0.7599999,0.8999998,11.39,24.02
Covert,BS+BS+BS+BS,6/16/2023 09:03:25,0.8999999,1,11.39,24.02
