Rarity,Item,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS,FN ST,MW ST,FT ST,WW ST,BS ST
Covert,USP-S Printstream,0,0.85,7/4/2023 00:07:17,EUR,189.33,94.67,60.94,55.73,39.86,447.34,191.78,113.40,113.27,77.91
Classified,AK-47 Ice Coaled,0,0.77,7/4/2023 00:07:41,EUR,32.60,17.20,9.61,9.82,6.27,83.40,38.93,19.76,19.58,13.19
Classified,Sawed-Off Kiss-Love,0,1,7/4/2023 00:08:25,EUR,17.05,7.21,4.79,3.80,2.86,39.73,16.65,7.29,6.38,5.22
Classified,P250 Visions,0,0.7,7/4/2023 00:08:00,EUR,13.94,6.89,5.01,4.00,3.13,34.97,14.87,7.19,7.84,5.60
Restricted,Dual-Berettas Flora Carnivora,0,1,7/4/2023 00:08:12,EUR,2.66,1.27,0.65,0.54,0.48,7.87,2.98,1.39,1.00,0.97
Restricted,R8-Revolver Crazy 8,0,1,7/4/2023 00:08:24,EUR,2.65,1.31,0.66,0.55,0.53,7.59,3.08,1.27,1.06,0.98
Restricted,SG-553 Dragon Tech,0,0.7,7/4/2023 00:09:31,EUR,2.25,1.37,0.66,0.58,0.47,6.79,3.28,1.27,1.16,0.92
Restricted,M249 Downtown,0,0.65,7/4/2023 00:08:48,EUR,2.42,1.28,0.65,0.56,0.49,5.61,2.96,1.26,1.31,0.94
Restricted,P90 Vent Rush,0,0.7,7/4/2023 00:09:30,EUR,2.23,1.26,0.65,0.57,0.50,5.45,3.06,1.29,1.11,1.01
Mil-Spec,M4A4 Poly Mag,0,1,7/4/2023 00:09:13,EUR,0.45,0.15,0.08,0.06,0.06,3.18,0.67,0.21,0.13,0.14
Mil-Spec,Glock-18 Winterized,0,1,7/4/2023 00:09:24,EUR,0.36,0.14,0.08,0.07,0.07,2.86,0.50,0.18,0.14,0.14
Mil-Spec,FAMAS Meow 36,0,1,7/4/2023 00:09:37,EUR,0.38,0.14,0.09,0.06,0.06,1.74,0.44,0.17,0.12,0.12
Mil-Spec,UMP-45 Roadblock,0,1,7/4/2023 00:10:10,EUR,0.32,0.14,0.08,0.06,0.06,1.07,0.37,0.16,0.11,0.11
Mil-Spec,Galil-AR Destroyer,0,0.7,7/4/2023 00:09:57,EUR,0.24,0.15,0.07,0.07,0.06,0.86,0.43,0.15,0.19,0.15
Mil-Spec,MAC-10 Monkeyflage,0,1,7/4/2023 00:10:10,EUR,0.26,0.14,0.08,0.06,0.06,1.10,0.37,0.16,0.12,0.12
Mil-Spec,Negev Drop Me,0,1,7/4/2023 00:10:20,EUR,0.31,0.14,0.08,0.06,0.06,1.19,0.37,0.16,0.12,0.11
