Rarity;Name;SCM Link;CSGOStash Link;Lowest Float;Highest Float
Covert;USP-S Printstream;USP-S%20%7C%20Printstream%20;https://csgostash.com/skin/1532/USP-S-Printstream;0;0.85
Covert;AWP Chromatic Aberration;AWP%20%7C%20Chromatic%20Aberration%20;https://csgostash.com/skin/1533/AWP-Chromatic-Aberration;0;0.7
Classified;AK-47 Ice Coaled;AK-47%20%7C%20Ice%20Coaled%20;https://csgostash.com/skin/1529/AK-47-Ice-Coaled;0;0.77
Classified;Sawed-Off Kiss-Love;Sawed-Off%20%7C%20Kiss♥Love%20;https://csgostash.com/skin/1531/Sawed-Off-Kiss%E2%99%A5Love;0;1
Classified;P250 Visions;P250%20%7C%20Visions%20;https://csgostash.com/skin/1530/P250-Visions;0;0.7
Restricted;Dual-Berettas Flora Carnivora;Dual%20Berettas%20%7C%20Flora%20Carnivora%20;https://csgostash.com/skin/1528/Dual-Berettas-Flora-Carnivora;0;1
Restricted;R8-Revolver Crazy 8;R8%20Revolver%20%7C%20Crazy%208%20;https://csgostash.com/skin/1524/R8-Revolver-Crazy-8;0;1
Restricted;SG-553 Dragon Tech;SG%20553%20%7C%20Dragon%20Tech%20;https://csgostash.com/skin/1526/SG-553-Dragon-Tech;0;0.7
Restricted;M249 Downtown;M249%20%7C%20Downtown%20;https://csgostash.com/skin/1525/M249-Downtown;0;0.65
Restricted;P90 Vent Rush;P90%20%7C%20Vent%20Rush%20;https://csgostash.com/skin/1527/P90-Vent-Rush;0;0.7
Mil-Spec;M4A4 Poly Mag;M4A4%20%7C%20Poly%20Mag%20;https://csgostash.com/skin/1519/M4A4-Poly-Mag;0;1
Mil-Spec;Glock-18 Winterized;Glock-18%20%7C%20Winterized%20;https://csgostash.com/skin/1523/Glock-18-Winterized;0;1
Mil-Spec;FAMAS Meow 36;FAMAS%20%7C%20Meow%2036%20;https://csgostash.com/skin/1517/FAMAS-Meow-36;0;1
Mil-Spec;UMP-45 Roadblock;UMP-45%20%7C%20Roadblock%20;https://csgostash.com/skin/1522/UMP-45-Roadblock;0;1
Mil-Spec;Galil-AR Destroyer;Galil%20AR%20%7C%20Destroyer%20;https://csgostash.com/skin/1518/Galil-AR-Destroyer;0;0.7
Mil-Spec;MAC-10 Monkeyflage;MAC-10%20%7C%20Monkeyflage%20;https://csgostash.com/skin/1520/MAC-10-Monkeyflage;0;1
Mil-Spec;Negev Drop Me;Negev%20%7C%20Drop%20Me%20;https://csgostash.com/skin/1521/Negev-Drop-Me;0;1
