wear_values,ev,st_ev,Desert-Eagle Mecha Industries,Desert-Eagle Mecha Industries ST,MP5-SD Phosphor,MP5-SD Phosphor ST,UMP-45 Momentum,UMP-45 Momentum ST
0.0,117.01,351.56,,,12.17,30.23,11.17,30.02
0.01,117.01,351.56,,,11.72,29.03,10.75,28.79
0.02,117.01,351.56,,,11.27,27.82,10.33,27.55
0.03,117.01,351.56,,,10.81,26.61,9.91,26.31
0.04,39.58,95.0,,,10.36,25.4,9.49,25.07
0.05,39.58,95.0,10.5,25.26,9.91,24.2,9.07,23.84
0.06,39.58,95.0,10.0,24.0,9.46,22.99,8.65,22.6
0.07,39.58,95.0,9.5,22.74,9.01,21.78,8.23,21.36
0.08,39.58,95.0,9.0,21.48,8.56,20.57,7.81,20.12
0.09,39.58,95.0,8.51,20.22,8.11,19.37,7.39,18.89
0.1,39.58,95.0,8.01,18.96,7.66,18.16,6.97,17.65
0.11,39.58,95.0,7.51,17.7,7.2,16.95,6.55,16.41
0.12,39.58,95.0,7.01,16.43,6.75,15.74,6.13,15.17
0.13,39.58,95.0,6.51,15.17,6.3,14.53,5.71,13.93
0.14,36.09,83.78,6.02,13.91,5.85,13.33,5.29,12.7
0.15,36.09,83.78,5.52,12.65,5.4,12.12,4.87,11.46
0.16,27.09,58.44,5.44,12.49,5.31,11.86,4.81,11.22
0.17,27.09,58.44,5.37,12.32,5.22,11.59,4.75,10.98
0.18,27.09,58.44,5.29,12.16,5.14,11.33,4.68,10.74
0.19,27.09,58.44,5.21,12.0,5.05,11.07,4.62,10.5
0.2,27.09,58.44,5.13,11.83,4.96,10.8,4.56,10.26
0.21,27.09,58.44,5.06,11.67,4.87,10.54,4.5,10.01
0.22,27.09,58.44,4.98,11.51,4.78,10.28,4.44,9.77
0.23,27.09,58.44,4.9,11.35,4.69,10.01,4.38,9.53
0.24,27.09,58.44,4.82,11.18,4.61,9.75,4.31,9.29
0.25,27.09,58.44,4.75,11.02,4.52,9.49,4.25,9.05
0.26,27.09,58.44,4.67,10.86,4.43,9.22,4.19,8.81
0.27,27.09,58.44,4.59,10.69,4.34,8.96,4.13,8.57
0.28,27.09,58.44,4.51,10.53,4.25,8.69,4.07,8.33
0.29,27.09,58.44,4.44,10.37,4.16,8.43,4.01,8.09
0.3,24.53,47.98,4.36,10.2,4.08,8.17,3.94,7.85
0.31,24.53,47.98,4.28,10.04,3.99,7.9,3.88,7.61
0.32,24.53,47.98,4.2,9.88,3.9,7.64,3.82,7.37
0.33,24.53,47.98,4.13,9.72,3.81,7.38,3.76,7.12
0.34,24.53,47.98,4.05,9.55,3.72,7.11,3.7,6.88
0.35,24.53,47.98,3.97,9.39,3.63,6.85,3.64,6.64
0.36,24.53,47.98,3.89,9.23,3.55,6.59,3.57,6.4
0.37,24.53,47.98,3.82,9.06,3.46,6.32,3.51,6.16
0.38,24.53,47.98,3.74,8.9,3.37,6.06,3.45,5.92
0.39,24.53,47.98,3.82,9.14,3.38,6.09,3.45,6.0
0.4,24.53,47.98,3.89,9.37,3.38,6.12,3.46,6.08
0.41,24.53,47.98,3.97,9.61,3.39,6.15,3.46,6.16
0.42,24.53,47.98,4.05,9.84,3.4,6.19,3.47,6.25
0.43,24.53,47.98,4.13,10.08,3.41,6.22,3.47,6.33
0.44,24.53,47.98,4.2,10.31,3.41,6.25,3.48,6.41
0.45,24.53,47.98,4.28,10.55,3.42,6.28,3.48,6.49
0.46,24.53,47.98,4.21,10.36,3.4,6.28,3.41,6.59
0.47,24.53,47.98,4.14,10.16,3.38,6.28,3.34,6.69
0.48,24.53,47.98,4.08,9.97,3.36,6.28,3.27,6.8
0.49,24.53,47.98,4.01,9.78,3.34,6.29,3.2,6.9
0.5,24.53,47.98,3.94,9.58,3.32,6.29,3.13,7.0
0.51,25.33,55.58,3.87,9.39,3.3,6.29,,
0.52,25.33,55.58,3.8,9.2,3.28,6.29,,
0.53,25.33,55.58,3.74,9.0,3.26,6.29,,
0.54,25.33,55.58,3.67,8.81,3.23,6.29,,
0.55,25.33,55.58,3.6,8.62,3.21,6.29,,
0.56,25.33,55.58,3.53,8.42,3.19,6.3,,
0.57,25.33,55.58,3.46,8.23,3.17,6.3,,
0.58,25.33,55.58,3.4,8.04,3.15,6.3,,
0.59,25.33,55.58,3.33,7.84,3.13,6.3,,
0.6,25.33,55.58,3.26,7.65,3.11,6.3,,
0.61,25.33,55.58,,,3.09,6.3,,
0.62,20.58,42.91,,,3.07,6.3,,
0.63,20.58,42.91,,,3.05,6.31,,
0.64,20.58,42.91,,,3.03,6.31,,
0.65,20.58,42.91,,,3.01,6.31,,
0.66,20.58,42.91,,,2.99,6.31,,
0.67,20.58,42.91,,,2.97,6.31,,
0.68,20.58,42.91,,,2.95,6.31,,
0.69,20.58,42.91,,,2.93,6.31,,
0.7,20.58,42.91,,,2.91,6.32,,
0.71,20.58,42.91,,,2.89,6.32,,
0.72,20.58,42.91,,,2.86,6.32,,
0.73,20.58,42.91,,,2.84,6.32,,
0.74,20.58,42.91,,,2.82,6.32,,
0.75,20.58,42.91,,,2.8,6.32,,
0.76,20.14,44.87,,,2.78,6.32,,
0.77,20.14,44.87,,,2.76,6.33,,
0.78,20.14,44.87,,,2.74,6.33,,
0.79,20.14,44.87,,,2.72,6.33,,
0.8,20.14,44.87,,,2.7,6.33,,
0.81,20.14,44.87,,,,,,
0.82,20.14,44.87,,,,,,
0.83,20.14,44.87,,,,,,
