Index,Price,Float,Condition,Name,Halo
1,1.41,0.2234396487474441,FT,AUG_Stymphalian,Halo
2,1.41,0.2124422043561935,FT,AUG_Stymphalian,Halo
3,1.41,0.2549970149993896,FT,AUG_Stymphalian,Halo
4,1.41,0.1951823085546493,FT,AUG_Stymphalian,Halo
5,1.41,0.2240153402090072,FT,AUG_Stymphalian,Halo
6,1.43,0.2631993293762207,FT,AUG_Stymphalian,Halo
7,1.43,0.2239291965961456,FT,AUG_Stymphalian,Halo
8,1.44,0.2378494739532470,FT,AUG_Stymphalian,Halo
9,1.45,0.1925284266471862,FT,AUG_Stymphalian,Halo
10,1.45,0.2484488636255264,FT,AUG_Stymphalian,Halo
11,1.45,0.2793143391609191,FT,AUG_Stymphalian,Halo
12,1.45,0.2504241168498992,FT,AUG_Stymphalian,Halo
13,1.45,0.2660857737064361,FT,AUG_Stymphalian,Halo
14,1.45,0.2562179863452911,FT,AUG_Stymphalian,Halo
15,1.45,0.1895083636045455,FT,AUG_Stymphalian,Halo
16,1.51,0.2310692816972732,FT,AUG_Stymphalian,Halo
17,1.52,0.2217614203691482,FT,AUG_Stymphalian,Halo
18,1.52,0.2626131176948547,FT,AUG_Stymphalian,Halo
19,1.52,0.2808581888675689,FT,AUG_Stymphalian,Halo
20,1.55,0.2220786511898040,FT,AUG_Stymphalian,Halo
21,1.55,0.2184909284114837,FT,AUG_Stymphalian,Halo
22,1.69,0.1890520453453063,FT,AUG_Stymphalian,Halo
23,1.78,0.2140113413333892,FT,AUG_Stymphalian,Halo
24,1.83,0.3004843592643737,FT,AUG_Stymphalian,Halo
25,1.83,0.3139923214912414,FT,AUG_Stymphalian,Halo
26,1.83,0.2717922329902648,FT,AUG_Stymphalian,Halo
27,1.83,0.2668413221836090,FT,AUG_Stymphalian,Halo
28,1.92,0.1958596259355545,FT,AUG_Stymphalian,Halo
29,1.92,0.2764270901679992,FT,AUG_Stymphalian,Halo
30,1.92,0.2220363467931747,FT,AUG_Stymphalian,Halo
