Index,Price,Float,Condition,Name,Halo
1,2.36,0.2197044789791107,FT,USP-S_Cortex,Halo
2,2.36,0.2857131063938140,FT,USP-S_Cortex,Halo
3,2.36,0.1995491683483123,FT,USP-S_Cortex,Halo
4,2.36,0.2611185908317565,FT,USP-S_Cortex,Halo
5,2.36,0.1994782388210296,FT,USP-S_Cortex,Halo
6,2.36,0.3340100049972534,FT,USP-S_Cortex,Halo
7,2.36,0.2352633178234100,FT,USP-S_Cortex,Halo
8,2.36,0.2695518434047698,FT,USP-S_Cortex,Halo
9,2.36,0.1679745316505432,FT,USP-S_Cortex,Halo
10,2.36,0.1683495342731475,FT,USP-S_Cortex,Halo
11,2.36,0.1683731675148010,FT,USP-S_Cortex,Halo
12,2.36,0.1682163774967193,FT,USP-S_Cortex,Halo
13,2.36,0.1672581881284713,FT,USP-S_Cortex,Halo
14,2.36,0.1693706512451171,FT,USP-S_Cortex,Halo
15,2.36,0.1682394146919250,FT,USP-S_Cortex,Halo
16,2.37,0.2889993488788604,FT,USP-S_Cortex,Halo
17,2.37,0.2718841433525085,FT,USP-S_Cortex,Halo
18,2.37,0.2023859322071075,FT,USP-S_Cortex,Halo
19,2.37,0.2618996798992156,FT,USP-S_Cortex,Halo
20,2.37,0.2557894289493560,FT,USP-S_Cortex,Halo
21,2.37,0.2310058325529098,FT,USP-S_Cortex,Halo
22,2.37,0.2354411333799362,FT,USP-S_Cortex,Halo
23,2.37,0.2517264485359191,FT,USP-S_Cortex,Halo
24,2.37,0.2685445845127105,FT,USP-S_Cortex,Halo
25,2.37,0.2592285275459289,FT,USP-S_Cortex,Halo
26,2.37,0.2208936214447021,FT,USP-S_Cortex,Halo
27,2.37,0.2332655340433120,FT,USP-S_Cortex,Halo
28,2.38,0.1939859986305236,FT,USP-S_Cortex,Halo
29,2.38,0.2466737776994705,FT,USP-S_Cortex,Halo
30,2.38,0.1963850557804107,FT,USP-S_Cortex,Halo
