Index,Price,Float,Condition,Name,Halo
1,3.99,0.2419700026512145,FT,Desert_Eagle_Mecha_Industries,Halo
2,4.00,0.2617531716823577,FT,Desert_Eagle_Mecha_Industries,Halo
3,4.02,0.2140757590532302,FT,Desert_Eagle_Mecha_Industries,Halo
4,4.06,0.1807150244712829,FT,Desert_Eagle_Mecha_Industries,Halo
5,4.06,0.1924909204244613,FT,Desert_Eagle_Mecha_Industries,Halo
6,4.06,0.2484573721885681,FT,Desert_Eagle_Mecha_Industries,Halo
7,4.06,0.2134554088115692,FT,Desert_Eagle_Mecha_Industries,Halo
8,4.06,0.2074049860239028,FT,Desert_Eagle_Mecha_Industries,Halo
9,4.06,0.1906874179840087,FT,Desert_Eagle_Mecha_Industries,Halo
10,4.06,0.2488240301609039,FT,Desert_Eagle_Mecha_Industries,Halo
11,4.06,0.2137448191642761,FT,Desert_Eagle_Mecha_Industries,Halo
12,4.06,0.1837366223335266,FT,Desert_Eagle_Mecha_Industries,Halo
13,4.07,0.2674313187599182,FT,Desert_Eagle_Mecha_Industries,Halo
14,4.07,0.2598797380924224,FT,Desert_Eagle_Mecha_Industries,Halo
15,4.08,0.2267274558544158,FT,Desert_Eagle_Mecha_Industries,Halo
16,4.08,0.2559976875782012,FT,Desert_Eagle_Mecha_Industries,Halo
17,4.08,0.2376536130905151,FT,Desert_Eagle_Mecha_Industries,Halo
18,4.15,0.2558216452598571,FT,Desert_Eagle_Mecha_Industries,Halo
19,4.15,0.3210379481315612,FT,Desert_Eagle_Mecha_Industries,Halo
20,4.15,0.1707288175821304,FT,Desert_Eagle_Mecha_Industries,Halo
21,4.16,0.2433127164840698,FT,Desert_Eagle_Mecha_Industries,Halo
22,4.20,0.2493413835763931,FT,Desert_Eagle_Mecha_Industries,Halo
23,4.20,0.2241634428501129,FT,Desert_Eagle_Mecha_Industries,Halo
24,4.20,0.2613217830657958,FT,Desert_Eagle_Mecha_Industries,Halo
25,4.20,0.2454793602228164,FT,Desert_Eagle_Mecha_Industries,Halo
26,4.21,0.2626479268074035,FT,Desert_Eagle_Mecha_Industries,Halo
27,4.21,0.2267872244119644,FT,Desert_Eagle_Mecha_Industries,Halo
28,4.21,0.2605422735214233,FT,Desert_Eagle_Mecha_Industries,Halo
29,4.22,0.2413644492626190,FT,Desert_Eagle_Mecha_Industries,Halo
30,4.22,0.1506036818027496,FT,Desert_Eagle_Mecha_Industries,Halo
