Index,Price,Float,Condition,Name,Halo
1,3.23,0.2142232507467269,FT,MP5-SD_Phosphor,Halo
2,3.24,0.3190466165542602,FT,MP5-SD_Phosphor,Halo
3,3.24,0.1837493926286697,FT,MP5-SD_Phosphor,Halo
4,3.24,0.3187140524387359,FT,MP5-SD_Phosphor,Halo
5,3.36,0.2732087671756744,FT,MP5-SD_Phosphor,Halo
6,3.37,0.1800091564655303,FT,MP5-SD_Phosphor,Halo
7,3.37,0.2129268646240234,FT,MP5-SD_Phosphor,Halo
8,3.37,0.1824699193239212,FT,MP5-SD_Phosphor,Halo
9,3.38,0.2762645184993743,FT,MP5-SD_Phosphor,Halo
10,3.50,0.3174282908439636,FT,MP5-SD_Phosphor,Halo
11,3.50,0.3409654796123504,FT,MP5-SD_Phosphor,Halo
12,3.51,0.2231746017932891,FT,MP5-SD_Phosphor,Halo
13,3.51,0.3375452160835266,FT,MP5-SD_Phosphor,Halo
14,3.51,0.1777823120355606,FT,MP5-SD_Phosphor,Halo
15,3.62,0.2896231412887573,FT,MP5-SD_Phosphor,Halo
16,3.65,0.2652324140071868,FT,MP5-SD_Phosphor,Halo
17,3.65,0.3313921689987182,FT,MP5-SD_Phosphor,Halo
18,3.65,0.2729888856410980,FT,MP5-SD_Phosphor,Halo
19,3.65,0.2847864031791687,FT,MP5-SD_Phosphor,Halo
20,3.65,0.1912733465433120,FT,MP5-SD_Phosphor,Halo
21,3.65,0.2246355563402175,FT,MP5-SD_Phosphor,Halo
22,4.21,0.1940628737211227,FT,MP5-SD_Phosphor,Halo
23,4.21,0.2203316986560821,FT,MP5-SD_Phosphor,Halo
24,4.21,0.1775489896535873,FT,MP5-SD_Phosphor,Halo
25,4.68,0.2222913503646850,FT,MP5-SD_Phosphor,Halo
26,5.05,0.3417221903800964,FT,MP5-SD_Phosphor,Halo
27,5.05,0.3216438293457031,FT,MP5-SD_Phosphor,Halo
28,5.05,0.2469958513975143,FT,MP5-SD_Phosphor,Halo
29,5.05,0.3308310508728027,FT,MP5-SD_Phosphor,Halo
30,5.61,0.3201260268688201,FT,MP5-SD_Phosphor,Halo
