Index,Price,Float,Condition,Name,Site,Timestamp
1,8.00,0.0566573105752468,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
2,8.00,0.0687766224145889,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
3,8.00,0.0689965039491653,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
4,8.42,0.0638413876295089,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
5,8.53,0.0562540516257286,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
6,8.55,0.0655681788921356,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
7,8.62,0.0681686401367187,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
8,8.98,0.0463538467884063,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
9,9.75,0.0648148059844970,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:44
10,9.76,0.0553603470325469,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
11,9.78,0.0668403655290603,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
12,9.81,0.0523769967257976,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
13,9.81,0.0569240823388099,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
14,9.81,0.0595475658774375,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
15,10.06,0.0570706538856029,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
16,10.38,0.0510245487093925,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
17,11.08,0.0620628707110881,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
18,11.08,0.0514972917735576,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:51
19,11.08,0.0500097945332527,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
20,11.08,0.0613040924072265,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
21,11.08,0.0521131344139575,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
22,11.22,0.0540277920663356,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
23,11.22,0.0602866262197494,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
24,11.22,0.0531613864004611,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
25,11.22,0.0514584705233573,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
26,11.22,0.0667236894369125,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
27,11.22,0.0686074718832969,FN,UMP-45_Momentum,Halo,2024-03-20 22:28:59
28,12.35,0.0431131422519683,FN,UMP-45_Momentum,Halo,2024-03-20 22:29:04
29,12.35,0.0526602640748023,FN,UMP-45_Momentum,Halo,2024-03-20 22:29:04
30,12.63,0.0591527298092842,FN,UMP-45_Momentum,Halo,2024-03-20 22:29:04
31,16.83,0.0295411087572574,FN,UMP-45_Momentum,Halo,2024-03-20 22:29:04
