Index,Price,Float,Condition,Name,Halo
1,4.31,0.1324189752340316,MW,UMP-45_Momentum,Halo
2,4.55,0.1433862149715423,MW,UMP-45_Momentum,Halo
3,4.55,0.1188924908638000,MW,UMP-45_Momentum,Halo
4,4.55,0.1464784741401672,MW,UMP-45_Momentum,Halo
5,5.33,0.1352609694004058,MW,UMP-45_Momentum,Halo
6,5.40,0.1405133306980133,MW,UMP-45_Momentum,Halo
7,5.97,0.0729739516973495,MW,UMP-45_Momentum,Halo
8,6.31,0.0940717905759811,MW,UMP-45_Momentum,Halo
9,6.32,0.1475253552198410,MW,UMP-45_Momentum,Halo
10,7.02,0.1405204832553863,MW,UMP-45_Momentum,Halo
11,7.02,0.1432802528142929,MW,UMP-45_Momentum,Halo
12,8.14,0.0850536823272705,MW,UMP-45_Momentum,Halo
13,8.28,0.0829118341207504,MW,UMP-45_Momentum,Halo
14,14.03,0.0717631205916404,MW,UMP-45_Momentum,Halo
