Index,Price,Float,Condition,Name,Site,Timestamp
1,0.14,0.5730128288269042,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
2,0.14,0.8428548574447631,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
3,0.14,0.7948185205459594,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
4,0.25,0.5505784153938293,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
5,0.26,0.6651393175125122,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
6,0.29,0.6565675139427185,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
7,0.29,0.5548029541969299,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
8,0.29,0.7768130898475646,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:31
9,0.57,0.5572878122329711,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:36
10,0.71,0.6018832921981811,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:36
11,1.10,0.5455344915390014,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:36
12,1.87,0.5807463526725769,BS,Glock-18_Oxide_Blaze,Halo,2024-03-21 15:54:36
