Index,Price,Float,Condition,Name,Site,Timestamp
1,2.07,0.0526526905596256,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
2,2.08,0.0682843923568725,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
3,2.09,0.0455480962991714,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
4,2.21,0.0425156690180301,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
5,2.21,0.0431152507662773,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
6,2.21,0.0302984677255153,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
7,2.21,0.0653283596038818,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
8,2.22,0.0607720352709293,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:39
9,2.22,0.0654956996440887,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
10,2.23,0.0500044077634811,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
11,2.24,0.0647296756505966,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
12,2.24,0.0666980668902397,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
13,2.24,0.0650345236063003,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
14,2.24,0.0688484683632850,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
15,2.24,0.0633199140429496,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
16,2.24,0.0263530369848012,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:44
17,2.24,0.0643996149301528,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
18,2.24,0.0387343019247055,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
19,2.24,0.0385378412902355,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
20,2.24,0.0554411672055721,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
21,2.24,0.0497122555971145,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
22,2.25,0.0459240041673183,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
23,2.36,0.0400973446667194,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
24,2.36,0.0382663533091545,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:50
25,2.36,0.0181080829352140,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
26,2.39,0.0543243512511253,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
27,2.39,0.0489911027252674,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
28,2.39,0.0299932509660720,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
29,2.39,0.0567609220743179,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
30,2.39,0.0557948537170886,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
31,2.67,0.0231651905924081,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
32,2.67,0.0496417805552482,FN,M4A4_Magnesium,Halo,2024-03-21 14:15:57
33,2.79,0.0208066795021295,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
34,2.79,0.0463860258460044,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
35,2.81,0.0380417518317699,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
36,2.81,0.0609885044395923,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
37,2.95,0.0280760284513235,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
38,3.23,0.0059955753386020,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
39,3.42,0.0321944355964660,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
40,3.42,0.0458350032567977,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:02
41,3.42,0.0372702218592166,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
42,3.48,0.0493708886206150,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
43,3.51,0.0088230539113283,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
44,3.51,0.0661811828613281,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
45,3.51,0.0097242956981062,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
46,3.79,0.0551165901124477,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
47,4.21,0.0335157401859760,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
48,4.21,0.0629493147134780,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:05
49,4.21,0.0381731912493705,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
50,4.21,0.0668480694293975,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
51,4.63,0.0049540675245225,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
52,5.05,0.0054835169576108,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
53,5.47,0.0049081989564001,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
54,5.61,0.0313188470900058,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
55,6.74,0.0339735299348831,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
56,7.02,0.0105820316821336,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:11
57,7.30,0.0262809768319129,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
58,7.72,0.0190812125802040,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
59,8.14,0.0294571835547685,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
60,14.03,0.0288937836885452,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
61,15.85,0.0553070791065692,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
62,20.90,0.0001649342302698,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
63,32.82,0.0189347825944423,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
64,32.96,0.0085935536772012,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:16
65,504.88,0.0249488856643438,FN,M4A4_Magnesium,Halo,2024-03-21 14:16:23
