Index,Price,Float,Condition,Name,Site,Timestamp
1,0.49,0.1923686563968658,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51
2,0.49,0.1918729990720748,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51
3,0.51,0.3306231796741485,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51
4,0.51,0.3411640524864196,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51
5,0.51,0.3022150993347167,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51
6,0.51,0.3775126934051513,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51
7,0.51,0.2855509817600250,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04
8,0.57,0.2436120063066482,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04
9,0.58,0.2261927723884582,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04
10,0.69,0.2352420985698699,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04
11,0.69,0.2270580828189849,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04
12,0.71,0.2108696997165679,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04
13,0.85,0.2618378996849060,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:10
14,0.85,0.1889897584915161,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:10
15,1.13,0.2104381173849105,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:10
16,1.13,0.2262330651283264,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:10
17,1.13,0.2046923935413360,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:10
18,1.55,0.2369849979877471,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:10
19,1.83,0.1593238562345504,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:17
20,4.21,0.1906984597444534,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:17
21,4.21,0.2054261714220046,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:17
22,4.91,0.2275541126728057,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:17
