Index,Price,Float,Condition,Name,Site,Timestamp
1,0.79,0.1323784440755844,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
2,0.91,0.1191619038581848,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
3,0.92,0.1175850331783294,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
4,0.98,0.1112127378582954,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
5,0.99,0.1024528518319129,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
6,0.99,0.1271265447139739,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
7,0.99,0.1469343751668930,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
8,0.99,0.1479898095130920,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:46
9,0.99,0.0921447724103927,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
10,0.99,0.1180141195654869,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
11,0.99,0.0833878517150878,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
12,1.13,0.0988119021058082,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
13,1.13,0.1238257735967636,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
14,1.25,0.1191846355795860,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
15,1.25,0.1225551962852478,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
16,1.41,0.0779403895139694,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:01:54
17,2.11,0.0809259340167045,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:02:04
18,2.11,0.1297673285007476,MW,MAC-10_Pipe_Down,Halo,2024-03-20 17:02:04
