Index,Price,Float,Condition,Name,Site,Timestamp
1,0.51,0.2226238399744033,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
2,0.52,0.1954249590635299,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
3,0.52,0.3207441568374633,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
4,0.52,0.2414170056581497,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
5,0.52,0.2152692228555679,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
6,0.52,0.2611904740333557,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
7,0.52,0.1983267813920974,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
8,0.52,0.2204164415597915,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
9,0.52,0.2235286533832550,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
10,0.52,0.2117588520050048,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
11,0.52,0.1806463003158569,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
12,0.52,0.2058130800724029,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
13,0.52,0.2548675835132598,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
14,0.52,0.2084783315658569,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
15,0.52,0.1877816915512084,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
16,0.52,0.2139284759759902,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
17,0.52,0.2393725961446762,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
18,0.52,0.2462615370750427,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
19,0.52,0.1861182004213333,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
20,0.52,0.1998233050107955,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
21,0.52,0.2204622477293014,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
22,0.52,0.1900445073843002,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
23,0.52,0.3170536160469055,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
24,0.52,0.2095139473676681,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
25,0.52,0.2184632718563079,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
26,0.52,0.3608750104904174,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
27,0.52,0.3257200419902801,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
28,0.52,0.3184894025325775,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
29,0.52,0.3661584854125976,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
30,0.52,0.2437951117753982,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
31,0.52,0.1979985833168029,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
32,0.52,0.2170059829950332,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
33,0.52,0.2660576403141021,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
34,0.52,0.2088268995285034,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
35,0.52,0.2221558243036270,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
36,0.52,0.1844396889209747,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
37,0.52,0.2215007543563842,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
38,0.52,0.1951256394386291,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
39,0.52,0.1814724504947662,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25
