Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,1,0.37,0.6381310820579528,BS,G3SG1_Scavenger,Halo,2024-03-20 16:43:23,Danger_Zone
2,1,0.39,0.6031927466392517,BS,MAC-10_Pipe_Down,Halo,2024-03-20 17:16:50,Danger_Zone
3,2,0.39,0.8051861524581909,BS,MAC-10_Pipe_Down,Halo,2024-03-20 17:16:50,Danger_Zone
4,5,0.4,0.4830470979213714,BS,G3SG1_Scavenger,Halo,2024-03-20 16:43:23,Danger_Zone
5,4,0.4,0.4861215054988861,BS,G3SG1_Scavenger,Halo,2024-03-20 16:43:23,Danger_Zone
6,3,0.4,0.617044448852539,BS,G3SG1_Scavenger,Halo,2024-03-20 16:43:23,Danger_Zone
7,2,0.4,0.6200622916221618,BS,G3SG1_Scavenger,Halo,2024-03-20 16:43:23,Danger_Zone
8,3,0.42,0.7585026025772094,BS,MAC-10_Pipe_Down,Halo,2024-03-20 17:16:50,Danger_Zone
9,5,0.44,0.291639357805252,FT,MAC-10_Pipe_Down,Halo,2024-03-20 17:09:22,Danger_Zone
10,2,0.44,0.3041405379772186,FT,MAC-10_Pipe_Down,Halo,2024-03-20 17:09:22,Danger_Zone
11,4,0.44,0.3286726772785186,FT,MAC-10_Pipe_Down,Halo,2024-03-20 17:09:22,Danger_Zone
12,3,0.44,0.3511655628681182,FT,MAC-10_Pipe_Down,Halo,2024-03-20 17:09:22,Danger_Zone
13,1,0.44,0.378492534160614,FT,MAC-10_Pipe_Down,Halo,2024-03-20 17:09:22,Danger_Zone
14,6,0.44,0.5533711910247802,BS,G3SG1_Scavenger,Halo,2024-03-20 16:43:23,Danger_Zone
15,2,0.49,0.1918729990720748,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51,Danger_Zone
16,1,0.49,0.1923686563968658,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51,Danger_Zone
17,1,0.49,0.2346505969762802,FT,Galil_AR_Signal,Halo,2024-03-20 16:45:41,Danger_Zone
18,4,0.49,0.3064952790737152,FT,Galil_AR_Signal,Halo,2024-03-20 16:45:41,Danger_Zone
19,2,0.49,0.3431171178817749,FT,Galil_AR_Signal,Halo,2024-03-20 16:45:41,Danger_Zone
20,3,0.49,0.3466828167438507,FT,Galil_AR_Signal,Halo,2024-03-20 16:45:41,Danger_Zone
21,1,0.51,0.2226238399744033,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
22,7,0.51,0.285550981760025,FT,G3SG1_Scavenger,Halo,2024-03-20 16:34:04,Danger_Zone
23,5,0.51,0.3022150993347167,FT,G3SG1_Scavenger,Halo,2024-03-20 16:33:51,Danger_Zone
24,11,0.52,0.1806463003158569,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
25,39,0.52,0.1814724504947662,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
26,36,0.52,0.1844396889209747,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
27,19,0.52,0.1861182004213333,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
28,15,0.52,0.1877816915512084,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
29,22,0.52,0.1900445073843002,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
30,38,0.52,0.1951256394386291,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
31,2,0.52,0.1954249590635299,FT,USP-S_Flashback,Halo,2024-03-20 20:05:25,Danger_Zone
32,19,0.58,0.1843931376934051,FT,Galil_AR_Signal,Halo,2024-03-20 16:46:01,Danger_Zone
33,19,0.64,0.1603179574012756,FT,MAC-10_Pipe_Down,Halo,2024-03-20 17:09:42,Danger_Zone
