Index,Price,Float,Condition,Name,Site,Timestamp
1,0.34,0.7206089496612548,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
2,0.35,0.7130207419395446,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
3,0.52,0.7410867214202880,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
4,0.52,0.6031262874603271,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
5,0.52,0.5849977731704711,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
6,0.52,0.6329216361045837,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
7,0.52,0.6248347759246826,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
8,0.52,0.5628230571746826,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:26
9,0.52,0.7147320508956909,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
10,0.52,0.5599560737609863,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
11,0.52,0.4905690550804138,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
12,0.52,0.5698740482330322,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
13,0.52,0.6849216222763061,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
14,0.52,0.6410614252090454,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
15,0.52,0.7389347553253173,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
16,0.52,0.6620613932609558,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:32
17,0.52,0.6131951808929443,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
18,0.56,0.7266722917556762,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
19,0.71,0.7130854725837707,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
20,0.72,0.7156310081481933,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
21,0.73,0.7082319259643554,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
22,0.73,0.5091259479522705,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
23,0.76,0.6811015605926513,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
24,1.41,0.4523895084857940,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:43
25,2.95,0.7177640795707702,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:53
26,3.74,0.5743566155433654,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:53
27,3.74,0.5162434577941894,BS,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:11:53
