Index,Price,Float,Condition,Name,Site,Timestamp
1,0.44,0.2487801015377044,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
2,0.44,0.3198537826538085,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
3,0.45,0.3064652383327484,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
4,0.45,0.2720849812030792,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
5,0.45,0.2747484743595123,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
6,0.45,0.3173709809780120,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
7,0.45,0.3161280155181884,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
8,0.45,0.3082857131958007,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:18
9,0.45,0.3049752712249755,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
10,0.45,0.2743051648139953,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
11,0.45,0.3324090838432312,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
12,0.45,0.3135547935962677,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
13,0.45,0.2419036924839019,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
14,0.45,0.3304367065429687,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
15,0.45,0.3347271084785461,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
16,0.45,0.2190733253955841,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:25
17,0.45,0.2666676640510559,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
18,0.45,0.2197684943675994,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
19,0.45,0.3089423179626464,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
20,0.45,0.3354517519474029,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
21,0.45,0.3157898187637329,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
22,0.45,0.1981514096260070,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
23,0.45,0.2155935019254684,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
24,0.45,0.3086696565151214,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34
25,0.45,0.3675880432128906,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
26,0.45,0.2295731306076049,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
27,0.45,0.2634605765342712,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
28,0.45,0.2633102536201477,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
29,0.45,0.2174183428287506,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
30,0.45,0.2821663618087768,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
31,0.45,0.2605674266815185,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
32,0.45,0.2763623297214508,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45
33,0.45,0.2489791214466094,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
34,0.45,0.2682126164436340,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
35,0.45,0.2507435679435729,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
36,0.45,,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
37,0.45,0.2754555642604827,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
38,0.45,0.2411713898181915,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
39,0.45,0.2616944313049316,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
40,0.45,0.2598114013671875,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:52
41,0.45,0.2578395307064056,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
42,0.45,0.2466169148683547,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
43,0.45,0.2622045278549194,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
44,0.45,0.2400920987129211,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
45,0.45,0.2516681551933288,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
46,0.45,0.2414960414171218,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
47,0.45,0.2426797449588775,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
48,0.45,0.2778752446174621,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:15:03
