Index,Price,Float,Condition,Name,Site,Timestamp
1,0.31,0.7275257110595703,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
2,0.31,0.5324812531471252,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
3,0.31,0.8122603297233581,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
4,0.31,0.8067229986190795,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
5,0.31,0.6001567840576171,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
6,0.31,0.7859587669372558,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
7,0.31,0.7184202671051025,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
8,0.31,0.6877982020378112,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
9,0.31,0.9343231916427612,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:10
10,0.31,0.6949291825294494,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
11,0.31,0.6365802288055419,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
12,0.31,0.5436755418777465,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
13,0.31,0.8166868686676025,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
14,0.35,0.5833139419555664,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
15,0.35,0.6598274111747741,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
16,0.57,0.5812273621559143,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
17,0.59,0.8130099773406982,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
18,0.93,0.6175085306167602,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:17
19,0.99,0.9287301301956176,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
20,0.99,0.9212822914123535,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
21,1.37,0.6959906220436096,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
22,1.38,0.6855739951133728,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
23,1.52,0.7523875236511230,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
24,1.52,0.7862451672554016,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
25,1.83,0.9968510866165161,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
26,1.89,0.9954848289489746,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
27,2.47,0.7883485555648803,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:23
28,4.21,0.5401712656021118,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:31
29,4.27,0.7309856414794921,BS,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:54:31
