item,collection,quality,fn,mw,ft,ww,bs
M4A4_Magnesium,Danger_Zone,Mil-Spec,553480498,553480483,553480496,553480524,553480474
Tec-9_Fubar,Danger_Zone,Mil-Spec,Null,553480583,553480471,553480552,553480465
Glock-18_Oxide_Blaze,Danger_Zone,Mil-Spec,553480469,553480476,553480495,553480570,553480548
SG_553_Danger_Close,Danger_Zone,Mil-Spec,553480620,553480481,553480472,553480594,553480470
MP9_Modest_Threat,Danger_Zone,Mil-Spec,553480489,553480484,553480492,553480515,553480553
Sawed-Off_Black_Sand,Danger_Zone,Mil-Spec,553480475,553480509,553480517,553480544,553480480
Nova_Wood_Fired,Danger_Zone,Mil-Spec,553480582,553480485,553480508,553480571,553480575
MP5-SD_Liquidation,Revolution,Mil-Spec,1098202823771136000,1098075811656830976,1098027629143044096,1098058012674072576,1098041716886355968
MP9_Featherweight,Revolution,Mil-Spec,1098066352504193024,1098059385514668032,1098059385753743360,1098045691250520064,1098109529175953409
SG_553_Cyberforce,Revolution,Mil-Spec,1098145620623011840,1098049025043963904,1098027280087793664,1098059387318218752,1098063142189182976
P250_Re.built,Revolution,Mil-Spec,1098261905022492672,1098057026415800320,1098052938479349760,1098086907445919744,1098068697408409600
Tec-9_Rebel,Revolution,Mil-Spec,1098254629421072384,1098057026692624384,1098054641923538944,1098059387234332672,1098083779863556096
SCAR-20_Fragments,Revolution,Mil-Spec,1098220615294431232,1098059387020423168,1098027628752973824,1098446825372098560,1098081375529119744
MAG-7_Insomnia,Revolution,Mil-Spec,1098066352697131008,1098057028299042816,1098059387448242176,1098057028999491584,1098109528588750848
SSG_08_Acid_Fade,Safehouse,Mil-Spec,22327,Null,Null,Null,Null
FAMAS_Teardown,Safehouse,Mil-Spec,23819,23059,23263,26542,26005
Five-SeveN_Silver_Quartz,Safehouse,Mil-Spec,22423,23016,24648,24880,Null
Glock-18_Clear_Polymer,Snakebite,Mil-Spec,863594833347211264,863562521814667264,863525411686617088,863606920916041728,863669328766431232
SG_553_Heavy_Metal,Snakebite,Mil-Spec,863662328969777152,863585741677391872,863574645830975488,863664754265817088,863621194864218112
R8_Revolver_Junk_Yard,Snakebite,Mil-Spec,863599611859038208,863591510487490560,863599790739509248,863575405870080000,863575405404512256
CZ75-Auto_Circaetus,Snakebite,Mil-Spec,863541856022122496,863585739873841152,863592169429094400,863888508866658304,863601885110685696
Nova_Windblown,Snakebite,Mil-Spec,863601997186240512,863591510558793728,863594028768251904,864031816716451840,863612160297992192
M249_O.S.I.P.R.,Snakebite,Mil-Spec,863563907504431104,863533732485304320,863576161123958784,863667432932900864,863755601954861056
UMP-45_Oscillator.,Snakebite,Mil-Spec,863603965002682368,863621721404116992,863576152559190016,863676037679439872,864138725377572864
