item,collection,quality,fn,mw,ft,ww,bs
P250_Nevermore,Danger_Zone,Restricted,553480504,553480526,553480513,553480986,Null
USP-S_Flashback,Danger_Zone,Restricted,553480478,553480529,553480477,553480767,553480542
MAC-10_Pipe_Down,Danger_Zone,Restricted,553480635,553480528,553480531,553480521,553480547
Galil_AR_Signal,Danger_Zone,Restricted,553480551,553480539,553480522,553480787,553480574
G3SG1_Scavenger,Danger_Zone,Restricted,553480534,553480520,553480512,553480829,553480615
M4A1-S_Emphorosaur-S,Revolution,Restricted,1098066352323837952,1098041811814162432,1098053220113203200,1098175969696591872,1098109529175953410
Glock-18_Umbral_Rabbit,Revolution,Restricted,1098083625769021440,1098033285469413376,1098052790213820416,1098153945231368192,1098227977767227392
P90_Neoqueen,Revolution,Restricted,1098058395063332864,1098155893853433856,1098081375373930496,1098084420137885696,1098194580036272128
MAC-10_Sakkaku,Revolution,Restricted,Null,Null,1098058392202817536,1098082282598932480,1098066352848125952
R8_Revolver_Banana_Cannon,Revolution,Restricted,1098058393490468864,1098152622981226496,1098057028710084608,1098075813082894336,1098048152440737792
M4A1-S_Nitro,Safehouse,Restricted,24257,22773,22480,23645,22460
AK-47_Slate,Snakebite,Restricted,863589570661974016,863525408805130240,863573385819783168,863718295579521024,863561447555592192
Desert_Eagle_Trigger_Discipline,Snakebite,Restricted,863687317224054784,863525408415059968,863589569474985984,863597779304972288,863636229120413696
P250_Cyber_Shell,Snakebite,Restricted,863687317492490240,863598298544115712,863598298007244800,864025494412759040,863928260399595520
Negev_dev_texture,Snakebite,Restricted,863589570712305664,863576152508858369,863545887071227904,864234459239632896,863677603683627008
MAC-10_Button_Masher,Snakebite,Restricted,863687317622513664,863733023034900480,863589570649391104,863602245078437888,863592199456448512
