ID,floatWear,formattedPrice,item,source,rarity,timestamp
99,0.12184893339872,11.27,P250 Visions,SCM,Classified,2023-04-16 10:46:55
114,0.11188401281834,12.71,Sawed-Off Kiss-Love,SCM,Classified,2023-04-16 10:45:55
119,0.10275012999773,12.96,P250 Visions,SCM,Classified,2023-04-16 10:46:55
120,0.11392372101545,12.96,P250 Visions,SCM,Classified,2023-04-16 10:46:55
130,0.09022141247988,15.69,Sawed-Off Kiss-Love,SCM,Classified,2023-04-16 10:45:55
141,0.0636322721839,19.78,P250 Visions,SCM,Classified,2023-04-16 10:46:29
143,0.06357488036156,20.39,P250 Visions,SCM,Classified,2023-04-16 10:46:29
145,0.05847354978323,20.6,P250 Visions,SCM,Classified,2023-04-16 10:46:29
149,0.05773697420955,20.95,P250 Visions,SCM,Classified,2023-04-16 10:46:29
165,0.0330675393343,24.76,P250 Visions,SCM,Classified,2023-04-16 10:46:29
