wear_values,ev,st_ev,Desert-Eagle Mecha Industries,Desert-Eagle Mecha Industries ST,MP5-SD Phosphor,MP5-SD Phosphor ST,UMP-45 Momentum,UMP-45 Momentum ST
0.0,117.01,351.56,,,121.69,302.33,111.7,300.23
0.01,117.01,351.56,,,117.17,290.25,107.5,287.85
0.02,117.01,351.56,,,112.66,278.18,103.3,275.48
0.03,117.01,351.56,,,108.15,266.1,99.1,263.1
0.04,39.58,95.0,,,103.64,254.03,94.9,250.73
0.05,39.58,95.0,,,99.12,241.95,90.7,238.35
0.06,39.58,95.0,,,94.61,229.88,86.5,225.97
0.07,39.58,95.0,,,90.1,217.8,82.3,213.6
0.08,39.58,95.0,,,85.59,205.73,78.1,201.23
0.09,39.58,95.0,,,81.07,193.65,73.9,188.85
0.1,39.58,95.0,,,76.56,181.57,69.7,176.48
0.11,39.58,95.0,,,72.05,169.5,65.5,164.1
0.12,39.58,95.0,,,67.54,157.43,61.3,151.73
0.13,39.58,95.0,,,63.02,145.35,57.1,139.35
0.14,36.09,83.78,,,58.51,133.27,52.9,126.97
0.15,36.09,83.78,55.2,126.5,54.0,121.2,48.7,114.6
0.16,27.09,58.44,54.43,124.87,53.12,118.57,48.08,112.19
0.17,27.09,58.44,53.65,123.24,52.23,115.93,47.47,109.78
0.18,27.09,58.44,52.88,121.61,51.35,113.3,46.85,107.37
0.19,27.09,58.44,52.1,119.98,50.47,110.66,46.23,104.97
0.2,27.09,58.44,51.33,118.35,49.59,108.03,45.61,102.56
0.21,27.09,58.44,50.56,116.72,48.7,105.39,45.0,100.15
0.22,27.09,58.44,49.78,115.09,47.82,102.76,44.38,97.74
0.23,27.09,58.44,49.01,113.46,46.94,100.12,43.76,95.33
0.24,27.09,58.44,48.23,111.83,46.06,97.49,43.14,92.92
0.25,27.09,58.44,47.46,110.2,45.17,94.85,42.53,90.51
0.26,27.09,58.44,46.69,108.57,44.29,92.22,41.91,88.1
0.27,27.09,58.44,45.91,106.93,43.41,89.58,41.29,85.7
0.28,27.09,58.44,45.14,105.3,42.53,86.95,40.67,83.29
0.29,27.09,58.44,44.37,103.67,41.64,84.31,40.06,80.88
0.3,24.53,47.98,43.59,102.04,40.76,81.68,39.44,78.47
0.31,24.53,47.98,42.82,100.41,39.88,79.04,38.82,76.06
0.32,24.53,47.98,42.04,98.78,39.0,76.41,38.2,73.65
0.33,24.53,47.98,41.27,97.15,38.11,73.77,37.59,71.24
0.34,24.53,47.98,40.5,95.52,37.23,71.14,36.97,68.83
0.35,24.53,47.98,39.72,93.89,36.35,68.5,36.35,66.43
0.36,24.53,47.98,38.95,92.26,35.47,65.87,35.73,64.02
0.37,24.53,47.98,38.17,90.63,34.58,63.23,35.12,61.61
0.38,24.53,47.98,37.4,89.0,33.7,60.6,34.5,59.2
0.39,24.53,47.98,38.17,91.36,33.77,60.91,34.54,60.01
0.4,24.53,47.98,38.94,93.71,33.84,61.23,34.59,60.83
0.41,24.53,47.98,39.71,96.07,33.91,61.54,34.63,61.64
0.42,24.53,47.98,40.49,98.43,33.99,61.86,34.67,62.46
0.43,24.53,47.98,41.26,100.79,34.06,62.17,34.71,63.27
0.44,24.53,47.98,42.03,103.14,34.13,62.49,34.76,64.09
0.45,24.53,47.98,42.8,105.5,34.2,62.8,34.8,64.9
0.46,24.53,47.98,42.12,103.57,33.99,62.81,34.1,65.92
0.47,24.53,47.98,41.44,101.63,33.79,62.83,33.4,66.94
0.48,24.53,47.98,40.76,99.7,33.58,62.84,32.7,67.96
0.49,24.53,47.98,40.08,97.77,33.38,62.86,32.0,68.98
0.5,24.53,47.98,39.4,95.83,33.17,62.87,31.3,70.0
0.51,25.33,55.58,38.72,93.9,32.97,62.89,,
0.52,25.33,55.58,38.04,91.97,32.76,62.9,,
0.53,25.33,55.58,37.36,90.03,32.55,62.91,,
0.54,25.33,55.58,36.68,88.1,32.35,62.93,,
0.55,25.33,55.58,36.0,86.17,32.14,62.94,,
0.56,25.33,55.58,35.32,84.23,31.94,62.96,,
0.57,25.33,55.58,34.64,82.3,31.73,62.97,,
0.58,25.33,55.58,33.96,80.37,31.53,62.99,,
0.59,25.33,55.58,33.28,78.43,31.32,63.0,,
0.6,25.33,55.58,32.6,76.5,31.11,63.01,,
0.61,25.33,55.58,,,30.91,63.03,,
0.62,20.58,42.91,,,30.7,63.04,,
0.63,20.58,42.91,,,30.5,63.06,,
0.64,20.58,42.91,,,30.29,63.07,,
0.65,20.58,42.91,,,30.09,63.09,,
0.66,20.58,42.91,,,29.88,63.1,,
0.67,20.58,42.91,,,29.67,63.11,,
0.68,20.58,42.91,,,29.47,63.13,,
0.69,20.58,42.91,,,29.26,63.14,,
0.7,20.58,42.91,,,29.06,63.16,,
0.71,20.58,42.91,,,28.85,63.17,,
0.72,20.58,42.91,,,28.65,63.19,,
0.73,20.58,42.91,,,28.44,63.2,,
0.74,20.58,42.91,,,28.23,63.21,,
0.75,20.58,42.91,,,28.03,63.23,,
0.76,20.14,44.87,,,27.82,63.24,,
0.77,20.14,44.87,,,27.62,63.26,,
0.78,20.14,44.87,,,27.41,63.27,,
0.79,20.14,44.87,,,27.21,63.29,,
0.8,20.14,44.87,,,27.0,63.3,,
0.81,20.14,44.87,,,,,,
0.82,20.14,44.87,,,,,,
0.83,20.14,44.87,,,,,,
0.84,20.14,44.87,,,,,,
0.85,20.14,44.87,,,,,,
0.86,20.14,44.87,,,,,,
0.87,20.14,44.87,,,,,,
0.88,20.14,44.87,,,,,,
0.89,20.14,44.87,,,,,,
0.9,18.54,41.59,,,,,,
0.91,18.54,41.59,,,,,,
0.92,18.54,41.59,,,,,,
0.93,18.54,41.59,,,,,,
0.94,18.54,41.59,,,,,,
0.95,18.54,41.59,,,,,,
0.96,18.54,41.59,,,,,,
0.97,18.54,41.59,,,,,,
0.98,18.54,41.59,,,,,,
0.99,18.54,41.59,,,,,,
1.0,18.54,41.59,,,,,,
