Index,Price,Float,Condition,Name,Halo
1,4.76,0.1351420581340789,MW,MP5-SD_Phosphor,Halo
2,4.77,0.1378668099641799,MW,MP5-SD_Phosphor,Halo
3,4.84,0.1268730014562606,MW,MP5-SD_Phosphor,Halo
4,4.88,0.1468312591314315,MW,MP5-SD_Phosphor,Halo
5,5.01,0.1351576298475265,MW,MP5-SD_Phosphor,Halo
6,5.03,0.1450435668230056,MW,MP5-SD_Phosphor,Halo
7,5.26,0.1411142647266387,MW,MP5-SD_Phosphor,Halo
8,5.47,0.1447336375713348,MW,MP5-SD_Phosphor,Halo
9,5.54,0.1436518430709838,MW,MP5-SD_Phosphor,Halo
10,5.54,0.1163953542709350,MW,MP5-SD_Phosphor,Halo
11,5.54,0.1196749135851860,MW,MP5-SD_Phosphor,Halo
12,5.54,0.1385657638311386,MW,MP5-SD_Phosphor,Halo
13,5.61,0.1359345316886901,MW,MP5-SD_Phosphor,Halo
14,6.32,0.1369709223508834,MW,MP5-SD_Phosphor,Halo
15,6.46,0.0747363045811653,MW,MP5-SD_Phosphor,Halo
16,6.79,0.0766262561082839,MW,MP5-SD_Phosphor,Halo
17,7.02,0.1424802690744400,MW,MP5-SD_Phosphor,Halo
18,7.30,,MW,MP5-SD_Phosphor,Halo
19,7.48,0.0708655491471290,MW,MP5-SD_Phosphor,Halo
20,8.26,0.1288686245679855,MW,MP5-SD_Phosphor,Halo
21,8.42,0.1097080633044242,MW,MP5-SD_Phosphor,Halo
22,11.35,0.0708355605602264,MW,MP5-SD_Phosphor,Halo
23,12.35,0.1232459172606468,MW,MP5-SD_Phosphor,Halo
24,40.66,0.1049976274371147,MW,MP5-SD_Phosphor,Halo
25,47.55,0.0876456424593925,MW,MP5-SD_Phosphor,Halo
