Index,Price,Float,Condition,Name,Halo
1,3.66,0.1703321337699890,FT,UMP-45_Momentum,Halo
2,3.92,0.1545876860618591,FT,UMP-45_Momentum,Halo
3,3.93,0.3486967980861663,FT,UMP-45_Momentum,Halo
4,4.21,0.2617693543434143,FT,UMP-45_Momentum,Halo
5,4.21,0.2997924983501434,FT,UMP-45_Momentum,Halo
6,4.21,0.2009932398796081,FT,UMP-45_Momentum,Halo
7,4.21,0.1968274563550949,FT,UMP-45_Momentum,Halo
8,4.91,0.1635541617870330,FT,UMP-45_Momentum,Halo
9,5.05,0.3779716491699218,FT,UMP-45_Momentum,Halo
10,5.19,0.1532167196273803,FT,UMP-45_Momentum,Halo
11,14.03,0.1746144890785217,FT,UMP-45_Momentum,Halo
