Index,Price,Float,Condition,Name,Site,Timestamp
1,2.81,0.4220242500305175,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
2,2.81,0.3823752701282501,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
3,2.81,0.4125453531742095,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
4,2.81,0.3908854722976684,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
5,2.81,0.3854131698608398,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
6,3.09,0.4206700623035430,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
7,6.99,0.4015136063098907,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
8,7.85,0.4462286233901977,WW,USP-S_Flashback,Halo,2024-03-20 19:37:55
9,8.42,0.4055596888065338,WW,USP-S_Flashback,Halo,2024-03-20 19:38:08
10,8.70,0.4144716858863830,WW,USP-S_Flashback,Halo,2024-03-20 19:38:08
11,9.68,0.4404642581939697,WW,USP-S_Flashback,Halo,2024-03-20 19:38:08
