Index,Price,Float,Condition,Name,Site,Timestamp
1,0.39,0.2698471844196319,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
2,0.39,0.2585905194282531,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
3,0.39,0.2532927691936492,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
4,0.39,0.2778388559818267,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
5,0.39,0.2481118589639663,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
6,0.39,0.2620429098606109,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
7,0.39,0.3595316112041473,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
8,0.39,0.2580429911613464,FT,P90_Neoqueen,Halo,2024-04-04 15:23:32
9,0.39,0.2551365494728088,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
10,0.39,0.2642823457717895,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
11,0.39,0.2771816253662109,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
12,0.39,0.3013497591018676,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
13,0.39,0.2505849003791809,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
14,0.39,0.2228713035583496,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
15,0.39,0.2189577072858810,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
16,0.39,0.2657791078090667,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35
17,0.39,0.2646492123603820,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
18,0.39,0.2676144540309906,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
19,0.39,0.2494637519121170,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
20,0.39,0.2605486214160919,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
21,0.39,0.2157087326049804,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
22,0.39,0.2566204369068145,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
23,0.39,0.2591343224048614,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
24,0.39,0.2024586200714111,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40
25,0.39,0.2592919170856475,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42
26,0.39,0.2604968249797821,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42
27,0.39,0.2354524135589599,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42
28,0.39,0.2380096465349197,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42
29,0.39,0.2571322023868560,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42
30,0.39,0.2479470521211624,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42
