Index,Price,Float,Condition,Name,Site,Timestamp
1,0.57,0.3543478846549987,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
2,0.57,,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
3,0.59,0.3095400035381317,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
4,0.61,0.3338956832885742,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
5,0.61,0.2794973850250244,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
6,0.61,0.2599061429500579,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
7,0.61,0.3044408857822418,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
8,0.61,0.2876042723655700,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
9,0.61,0.3689265251159667,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:35
10,0.61,0.3417592048645019,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
11,0.61,0.2925960719585418,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
12,0.61,0.3597885370254516,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
13,0.61,0.3340686559677124,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
14,0.61,0.2732857763767242,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
15,0.61,0.2598560452461242,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
16,0.61,0.2588833272457122,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
17,0.61,0.2893030643463134,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
18,0.61,0.2503069937229156,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:41
19,0.61,0.2500624358654022,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
20,0.61,0.2690628468990325,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
21,0.61,0.3374846577644348,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
22,0.61,0.3006241321563720,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
23,0.64,0.1773389428853988,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
24,0.67,0.3762131333351135,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
25,0.69,0.2896297574043273,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
26,0.69,0.3677137494087219,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
27,0.69,0.2895969152450561,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52
28,0.69,0.2880970239639282,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
29,0.69,0.2500234246253967,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
30,0.69,0.3328744769096374,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
31,0.69,0.3150682747364044,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
32,0.69,0.3003476262092590,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
33,0.69,0.2474904507398605,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
34,0.69,0.3123653531074523,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
35,0.69,0.2402382045984268,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
36,0.69,0.3320287764072418,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:56
37,0.69,0.3370527029037475,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
38,0.69,0.2970992922782897,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
39,0.69,0.2876189947128295,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
40,0.69,0.3332743048667907,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
41,0.69,0.2384090125560760,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
42,0.69,0.2817395329475402,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
43,0.69,0.3620838224887847,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
44,0.69,0.3429816961288452,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
45,0.69,0.3484042286872863,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:05
46,0.69,0.3703955411911010,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
47,0.69,0.3182847201824188,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
48,0.69,0.2486103475093841,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
49,0.69,0.3503437638282775,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
50,0.69,0.2892477512359619,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
51,0.69,0.3046918213367462,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
52,0.69,0.3104346990585327,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
53,0.69,0.3766003847122192,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
54,0.69,0.3273825347423553,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:12
55,0.69,0.1974362730979919,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
56,0.69,0.3121093511581420,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
57,0.69,0.2857730090618133,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
58,0.69,0.3467593193054199,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
59,0.69,0.3596106171607971,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
60,0.69,0.3244617581367492,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
61,0.69,0.3534306287765502,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
62,0.69,0.3469077944755554,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
63,0.69,0.3157722949981689,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17
