Coll_ID,Item_ID,Price,Float,Condition,Name,Site,Timestamp,Collection
1,3,0.292154,0.6037076711654663,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
2,2,0.292154,0.6230121850967407,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
3,4,0.292154,0.6902000904083252,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
4,1,0.292154,0.7195570468902588,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
5,5,0.293538,0.6805474758148193,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
6,6,0.293538,0.7216277718544006,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
7,7,0.294923,0.5427341461181641,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
8,8,0.296308,0.5636371374130249,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
9,9,0.296308,0.7005460262298584,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
10,10,0.297692,0.5304042100906372,BS,Glock-18_Umbral_Rabbit,Buff,2024-04-04 16:58:53,Revolution
11,4,0.3,0.3903262317180633,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:29,Revolution
12,15,0.3,0.3949572443962097,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:37,Revolution
13,3,0.3,0.395989567041397,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:29,Revolution
14,7,0.3,0.4147165715694427,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:29,Revolution
15,14,0.3,0.4196500778198242,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:37,Revolution
16,5,0.3,0.4200630486011505,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:29,Revolution
17,9,0.3,0.4233748912811279,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:29,Revolution
18,10,0.3,0.4245223402976989,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:37,Revolution
19,6,0.3,0.4271734356880187,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:29,Revolution
20,11,0.3,0.4283004701137542,WW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:37,Revolution
21,1,0.33,0.4279392063617706,WW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:17:00,Revolution
22,24,0.39,0.2024586200714111,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40,Revolution
23,21,0.39,0.2157087326049804,FT,P90_Neoqueen,Halo,2024-04-04 15:23:40,Revolution
24,15,0.39,0.218957707285881,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35,Revolution
25,14,0.39,0.2228713035583496,FT,P90_Neoqueen,Halo,2024-04-04 15:23:35,Revolution
26,1,0.39,0.2264003306627273,FT,P90_Neoqueen,CS2GO,2024-04-04 15:24:29,Revolution
27,7,0.39,0.2291877269744873,FT,P90_Neoqueen,CS2GO,2024-04-04 15:24:29,Revolution
28,27,0.39,0.2354524135589599,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42,Revolution
29,6,0.39,0.2367024272680282,FT,P90_Neoqueen,CS2GO,2024-04-04 15:24:29,Revolution
30,28,0.39,0.2380096465349197,FT,P90_Neoqueen,Halo,2024-04-04 15:23:42,Revolution
31,5,0.39,0.2383860051631927,FT,P90_Neoqueen,CS2GO,2024-04-04 15:24:29,Revolution
32,46,0.41,0.2379257231950759,FT,P90_Neoqueen,Halo,2024-04-04 15:23:49,Revolution
33,51,0.42,0.2232208400964736,FT,P90_Neoqueen,Halo,2024-04-04 15:23:53,Revolution
34,104,0.43,0.2092219293117523,FT,P90_Neoqueen,Halo,2024-04-04 15:24:18,Revolution
35,99,0.43,0.2097036242485046,FT,P90_Neoqueen,Halo,2024-04-04 15:24:14,Revolution
36,101,0.43,0.2128154188394546,FT,P90_Neoqueen,Halo,2024-04-04 15:24:14,Revolution
37,93,0.43,0.214793637394905,FT,P90_Neoqueen,Halo,2024-04-04 15:24:11,Revolution
38,110,0.43,0.2249273061752319,FT,P90_Neoqueen,Halo,2024-04-04 15:24:18,Revolution
39,22,0.45,0.198151409626007,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34,Revolution
40,23,0.45,0.2155935019254684,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:34,Revolution
41,29,0.45,0.2174183428287506,FT,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:14:45,Revolution
42,4,0.59,0.2045628130435943,FT,M4A1-S_Emphorosaur-S,Halo,2024-03-20 20:51:07,Revolution
43,31,0.59,0.2067572176456451,FT,M4A1-S_Emphorosaur-S,Halo,2024-03-20 20:51:31,Revolution
44,19,0.59,0.2089927196502685,FT,M4A1-S_Emphorosaur-S,Halo,2024-03-20 20:51:24,Revolution
45,23,0.64,0.1773389428853988,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:52:52,Revolution
46,55,0.69,0.1974362730979919,FT,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:53:17,Revolution
47,2,0.82,0.1385503709316253,MW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:51:49,Revolution
48,1,0.82,0.1392556130886077,MW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:51:49,Revolution
49,3,0.82,0.1437835693359375,MW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:51:49,Revolution
50,1,0.87,0.1263844668865203,MW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:36:20,Revolution
51,4,0.9,0.1145076304674148,MW,R8_Revolver_Banana_Cannon,Halo,2024-03-20 21:51:49,Revolution
52,7,0.95,0.1021783277392387,MW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:36:20,Revolution
53,5,0.95,0.1264752149581909,MW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:36:20,Revolution
54,2,0.95,0.1393550336360931,MW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:36:20,Revolution
55,3,0.95,0.1399560272693634,MW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:36:20,Revolution
56,6,0.95,0.140107974410057,MW,Glock-18_Umbral_Rabbit,Halo,2024-03-20 21:36:20,Revolution
