Item,Collection,Rarity,MinF,MaxF,Timestamp,CUR,FN,MW,FT,WW,BS
P90_Neoqueen,Revolution,Restricted,0.60,0.00,2024-04-10 23:21:21,USD,1.41,0.73,0.31,0.34,0.41
AWP_Asiimov,Revolution,Restricted,0.18,1.00,2024-04-10 23:29:29,USD,,,114.76,84.37,65.49
Galil-AR-Connexion,Fracture,Restricted,0.00,0.80,2024-04-18 11:19:44,USD,1.22,0.77,0.22,0.34,0.38
MAC-10-Allure,Fracture,Restricted,0.00,1.00,2024-04-18 11:23:15,USD,2.19,0.64,0.4,0.31,0.55
MAG-7-Monster-Call,Fracture,Restricted,0.00,1.00,2024-04-18 11:27:03,USD,1.35,0.65,0.31,0.52,0.28
MP5-SD-Kitbash,Fracture,Restricted,0.00,0.80,2024-04-18 11:30:02,USD,1.16,0.76,0.37,0.3,0.25
Tec-9-Brother,Fracture,Restricted,0.00,1.00,2024-04-18 11:32:59,USD,1.22,0.69,0.36,0.28,0.3
P250-Nuclear-Threat,Nuke,Restricted,0.06,0.80,2024-04-18 00:45:30,USD,295,79.55,23.61,22.32,23.21
Tec-9-Nuclear-Threat,Nuke,Restricted,0.06,0.80,2024-04-18 00:47:14,USD,513,129.99,30.56,30.46,39.89
Glock-18_Rameses_Reach,Anubis,Restricted,5,Factory New,2024-04-18 10:57:48,USD,,,,,
P90_ScaraB_Rush,Anubis,Restricted,0.00,1.00,2024-04-18 11:04:53,USD,10.69,8.75,5.17,4.23,4.7
